TYPE OF CONTRACT,CONTRACT,PA,COMPANY,SERVICE,EXPIRATION,CONTROLLER,ADDRESS1,ADDRESS2,E-MAIL ADDRESS,CONTACT,PHONE #,FAX #,NOTES
County,5731,EP,THE HOME DEPOT U.S.A. INC.,MRO SUPPLIES,2017-07-31,45753,2455 PACES FERRY ROAD,"ATLANTA, GA 30339",rochelle_komlosi@homedepot.com,Rochelle Komlosi,412-418-9988,412-8295404,
County,5931,WC,PICTOMETRY INTERNATIONAL,INFORMATION TECHNOLOGY CONTRACT,2018-07-22,50582,100 TOWN CENTER DR. STE. A,"ROCHESTER, NY 14623",,,,,
County,6202,WC,"AMCOM OFFICE SYSTEMS, LLC",MULTIFUNCTIONAL EQUIPMENT II,2016-12-15,47894,"181 BATEMAN ROAD, PO BOX 4","IMPERIAL, PA 15126",MillerB1@teamamcom.com,Brian Miller,724-695-7391,724-695-1118,
County,6324,EP,HERTZ EQUIPMENT RENTAL CORP.,EQUIPMENT RENTAL,2017-03-31,48350,2001 WILLIAM FLYNN HIGHWAY,"GLENSHAW, PA 151166",JBochner@hertz.com,Jay Bochner,412-487-7919,412-487-7953,
County,6415,EP,GRAINGER,MRO SUPPLIES,2015-12-31,48768,100 GRAINGER PARKWAY,"LAKE FOREST, IL 60045",ericchichester@grainger.com,Eric Chichester,412-974-3967,412-380-0767,
County,6459,WC,ALLEGHENY SANDWICH SHOPPE,CONCESSIONAIRE SERVICES,2015-11-30,48973,822 WESTERN AVENUE,"PITTSBURGH, PA 15233",NMastros822@gmail.com,Nick Mastros,412-760-5695,412-321-4100,
County,6473,PR,AUTHENTIC PROMOTIONS.COM,PROMOTIONAL ITEMS,2015-01-31,49076,3024 PARAGON WAY,"CARMICHAEL, CA 95608","peter@authenticpromotions.com,",Peter Carmazzi,800-497-7765,800-497-7706,
County,6507,PR,EXPORT FUEL SERVICE CO.,BULK FUELS,2015-06-30,49190,RR2 BOX 634,"GREENSBURG, PA 15601",,Carrie Marchesky,724-925-2438,724-925-2642,
County,6525,PR,"PREMIER SAFETY & SERVICE, INC.",FIREFIGHTERS' PROTECTIVE GEAR,2015-06-30,49020,,,,,,,
County,6525,PR,"FIRE FORCE, INC.",FIREFIGHTERS' PROTECTIVE GEAR,2015-06-30,49020,,,,,,,
County,6525,PR,3 RIVERS FIRE EQUIPMENT,FIREFIGHTERS' PROTECTIVE GEAR,2015-06-30,49020,,,,,,,
County,6563,WC,INSIGHT PUBLIC SECTOR,"TECHNOLOGY PRODUCTS, SOLUTIONS, ETC.",2016-04-30,49011,444 SCOTT DRIVE,"BLOOMINGDALE, IL 60108",uscommunities@insight.com,Todd Sebring,800-546-0578,800-846-2528,
County,6567,WC,CRYSTAL SPRINGS WATER CO,RENTAL OF WATER COOLER UNITS,2015-06-30,49189,45 WEST NOBLESTOWN ROAD,"CARNEGIE, PA 15106",dbender@water.com,David Bender,412-429-5408,412-429-8359,
County,6574,PR,EQUIPARTS,PLUMBING SUPPLIES,2015-03-31,49371,817 MAIN STREET,"PITTSBURGH, PA 15215",danmartino@equiparts.net,Dan Martino,412-781-9100,412-632-1110,
County,6575,WC,FIRST VEHICLE SERVIES,FLEET MGT & MAINT. AGREEMENT (HEAVY EQUIP PARTS),2015-11-30,50976,,,,,,,
County,6602,PR,SEE A-100-14 AND SPEC# 7324,PROCESSING OF RECYCLABLE MATERIALS,,,,,,,,,
County,6668,PR,WRIGHT EXPRESS,CARD ACCESS FUELING,2015-12-31,49524,,,,,,,
County,6700,PR,APPROVED TOILET RENTALS,RENTAL OF PORTABLE TOILETS,2015-02-14,49622,,,,,,,
County,6701,PR,PETROLEUM TECHNICAL SERVICES,F/I/REPAIR: FUEL STORAGE & DELIVERY SYSTEMS,2014-11-30,49486,1105 WASHINGTON BOULEVARD,"PITTSBURGH, PA 15206",MikeB@bandrpools.com,Mike Bonavita,412-661-7665,412-661-2128,
County,6716,PR,ALLEGHENY FENCE CONSTRUCTION,"FENCING INSTALLATION, REPAIRS, ETC.",2014-12-31,49483,4301 IRVINE ST,"PITTSBURGH, PA 15207",patty@alleghenyfence.com,Craig Nayhouse,412-421-6005,412-421-1734,
County,6719,EP,GROFF TRACTOR,"PARTS: HEAVY EQUIPMENT, LANDSCAPING EQUIPMENT, SMALL EQUIPMENT, ETC.",2014-12-30,49642,100 SMITH DRIVE,"CRANBERRY TWP, PA 16002",andysees@grofftractor.com,Andrew Sees,724-898-1535x517,724-898-1540,
County,6719,EP,"E.H. GRIFFITH, INC.","PARTS: HEAVY EQUIPMENT, LANDSCAPING EQUIPMENT, SMALL EQUIPMENT, ETC.",2014-12-30,49641,2250 PALMER STREET,"PITTSBURGH, PA 15218",sales@ehgriffith.com,David Guerin,800-245-1224,412-271-2614,
County,6719,EP,BULL INTERNATIONAL,"PARTS: HEAVY EQUIPMENT, LANDSCAPING EQUIPMENT, SMALL EQUIPMENT, ETC.",2014-12-30,49640,291 CAMERON ROAD,"WASHINGTON, PA 15301",jeffbull@bullinternational.com,Jeff Bull,724-222-0450,724-222-7290,
County,6719,EP,MONTAGE ENTERPRISES,"PARTS: HEAVY EQUIPMENT, LANDSCAPING EQUIPMENT, SMALL EQUIPMENT, ETC.",2014-12-30,49645,POBOX 631,"BLAIRSTOWN, NJ 07825",sales@montageent.com,Michelle Perelli,908-362-5353,908-362-5405,
