code,category_friendly_name,examples,category,parent_category
08000,"Badges, name tags, and awards","Badges, Buttons, Emblems, and ID Cards, Celluloid and Plastic: Student, Faculty, Membership, Employee, etc. | Badges and Emblems, Metal: Cap, Game Wardens', Officers', Service Awards, Uniform, etc. | Card Holders, All Types (See Class 578 for Metal) | Convention Badges and Name Tags, Adhesive Back | Convention Badges and Name Tags, Nonadhesive type | Fasteners (For Badges, etc.): Metal, Plastic, etc. | Folders, Presentation | Nameplates, Metal, Adhesive Back | Nameplates, Metal, Nonadhesive | Nameplates, Plastic | Nameplates, Specialty (Including Clocks, Logos, Pen/Pencil Sets, etc.) | Ribbons and Rosettes (Awards) | Recycled Awards, Convention Items, Trophies, etc. | Service Awards, Specialty Type | Tags: Luggage, Security, Identification | Tags, Metal, Adhesive Back: Inventory, Property, Tool, etc. | Tags, Metal, Nonadhesive: Inventory, Property, Skiff, Seine Trawl, etc. | Tags, Pet Identification | Trophies, Plaques, Awards, etc. (Not Otherwise Classified)","BADGES, EMBLEMS, NAME TAGS AND PLATES, JEWELRY, ETC.",Apparel
20000,Clothing,"Athletic Clothing | Children's Clothing | Coats, Jackets, Parkas, Vests (Cold Weather) | Disposable Clothing (See Class 475 for Hospital Type) | Dresses, Skirts, Blouses | Folkloric Clothing | Formal Clothing (Tuxedos, Formal Gowns, etc.) | Hazardous Environment Clothing | Hospital Wear, Patient | Hospital Wear, Professional | Infant Apparel (Including Booties and Shoes) | Insulated Clothing | Laboratory Clothing, All Kinds (See 175-03 for Aprons and Gloves) | Pants, Slacks, Trousers, Shorts, Jeans, etc. | Party Wear | Prisoner Clothing | Recycled Clothing | Shirts, Dress and Casual | Silk Screened Shirts, Jackets, Hats, etc. | Suits, Dress and Casual | Sweaters | Swimwear | Uniforms, Blended Fabric | Uniforms, Cotton | Uniforms, Synthetic Fabric | Uniforms, Wool and Woolen Blends | Waistcoats | Work Clothes","CLOTHING, ATHLETIC, CASUAL, DRESS, UNIFORM, WEATHER RELATED, WORK",Apparel
20100,"Clothing accessories, excluding shoes","Aprons, Bibs, Smocks - Non-disposable (See 200-32,34 for Hospital type) | Bags, Clothing | Bandanas, Hankerchiefs, Ties, etc. | Bands: Arm, Hat, Head, Sweat, etc. | Belts and Suspenders | Brushes, Clothes | Caps, All Types (Except Disposable and Hospital Types) | Emblems, Braids, and Patches (For Caps and Uniforms) | Gloves, Cloth Type (All Types) | Gloves, Cowhide/Leather (All Types) | Gloves, Neoprene and Rubber (All Types) | Gloves: Latex, Plastic, PVC, Poly, Synthetic, Vinyl, etc. (All Types) | Hats, Felt | Hats, Straw | Hats, Miscellaneous (See 201-65 for Rain Type and 345-56 for Safety Type) | Hoods, Mittens, Mufflers, Scarves, etc. (For Cold Weather) | Hosiery and Socks | Liners, Glove | Moth Balls | Pacifiers, etc. for Infants | Rainwear (Raincoats, Slicker Suits, Storm Suits, Umbrellas, etc.) | Recycled Clothing Accessories | Robes, Caps, and Gowns (Choir and Graduation Types) | Shower Accessories: Caps, Shoes, Wraps, etc. | Tie Holders and Racks | Undergarments and Sleepwear, Female | Undergarments and Sleepwear, Male | Undergarments and Sleepwear, Unisex",CLOTHING ACCESSORIES (SEE CLASS 800 FOR SHOES AND BOOTS),Apparel
80000,Footwear,"Boots and Shoes, Athletic and Sportsman Type | Boots, Leather | Boots (Other Than Leather or Rubber) | Boots, Rubber | Boots, Rubber, Waders | Boots, Rubber, Safety Toe | Boots, Rubber, Waders, Safety Toe | Caps, Spikes, Spurs, and Shields | House Shoes and Slippers, All Types | Shoe and Boot Racks | Shoes, Casual, Women's and Girl's | Shoes, Casual, Men's and Boy's | Shoes, Dress, Women's and Girl's | Shoes, Dress, Men's and Boy's | Shoes, Orthopedic | Shoes, Safety Toe | Shoes, Rain | Shoes and Boots, Work, Men's | Shoes and Boots, Work, Women's | Recycled Shoes and Boots",SHOES AND BOOTS,Apparel
98300,"Rental and lease: clothing, janitorial, laundry, lawn, painting, and spraying equipment","Broom, Brush, and Mop Manufacturing Machinery Rental or Lease | Clothing Rental or Lease (Incl. Formal Wear | Floor Maintenance Machine Rental or Lease | Janitorial Equipment Rental or Lease | Laundry and Dry Cleaning Equipment, Commercial, Rental or Lease | Lawn Equipment Rental or Lease | Painting Equipment and Supplies Rental or Lease | Robes, Caps, and Gowns (Choir and Graduation), Rental or Lease | Spraying Equipment Rental or Lease | Textiles, Linens, etc. Rental or Lease (Including Shop Towels) | Treated and Dry Mops and Rugs (Including Floor Mats) Rental or Lease | Treated and Dry Sweeping and Dust Cloth Rental or Lease | Uniform Rental or Lease","RENTAL OR LEASE SERVICES OF EQUIPMENT - CLOTHING, JANITORIAL, LAUNDRY, LAWN, PAINTING, SPRAYING, AND TEXTILE EQUIPMENT",Apparel
94600 | 91800,Accounting and financial services,"Accounting and Billing Services (Including Payroll Services) | Accounting Services (Not Otherwise Classified) | Actuarial Services and Retirement Planning | Appraisal Services, Antique | Appraisal Services, Real Estate | Appraisal Services (Not Otherwise Classified) | Appraisal Services, Art | Auditing | Automatic Teller Machine (ATM) Services | Banking Services | Cash Management Services (Incl. Budgeting Services) | Cash/Securities and Bonding Services | Certified Public Accountant (CPA) Services | Collection Services | Credit Card, Charge Card Services | Credit Investigation and Reporting | Custom Brokerage Services (Incl. Stock and Bonds) | Employee Benefit Funds | Escrow and Title Services | Financial Advisor | Financial Services (Not Otherwise Classified) | Fund Raising Services | Installment Purchase/Lease Purchase Financing and Lease With Option to Purchase Financing | Inventory Services | Investment Management Services | Loan Administration | Mortgage Banking Services | Monetary Systems (Incl. Analysis, Liquidity, Policy, etc.) | Notary Public Services | Statistical Services | Tax Services (Including Tax Preparation, Advisory Services, etc.) | Trusts, Estates and Agency Accounts | Accounting/Auditing/Budget Consulting | Finance/Economics Consulting | Inventory Consulting | Business Consulting, Small Business Consulting, Large | Minority and Small Business Consulting",FINANCIAL SERVICES,Business services
96100 | 92100,Administrative services,"Administrative Services, All Kinds | Building Permit Services | Business Plan Development Services | Codification of Government Codes (To Include Code Conversion and Code Maintenance Services) | Commissioning of Facilities Services (Functional and Prefunctional) | Claims Processing Services | Cost Estimating | Court Reporting Services | Employment Agency and Search Firm Services (Including Background Investigations and Drug Testing for Employment) | Food Administrative Services (Incl. Policy, Standards, Evaluation, etc.) | Inspection and Certification Services | Interpreter Services (Foreign Language, Hearing Impaired, etc.) | Lobby Services | Personnel Services (Not Employment) | Relocation Services for Personnel | Sign Language Services for the Hearing Impaired | Talent Agency Services | Transcription Services: Legal and Medical | Translation Services | Writing Services, All Kinds (Including Resumes, Calligrapher/Engrosser Services) | Document Shredding Services | Parking Services: Operation, Admission, Supervision | Personnel Services, Temporary | Seating and Meeting Services, Public | Vehicle Registration Services | Business/Individual Grants & Loans | Administrative Consulting | Compliance Consulting, American Disabilities Act (ADA) | Employee Benefits Consulting | Governmental Consulting | Human Resources Consulting | Personnel/Employment Consulting | Purchasing Consulting (Incl. Specification Development)",,Business services
91500 | 96100 | 96200 | 91800,"Advertising, communications, and media services","Advertising Agency Services | Advertising (Notice of Bid Solicitation) | Advertising/Public Relations | Advertising, Outdoor Billboard, etc. | Answering/Paging Services | Audio Production | Audio Recording | Audio Tape Duplicating (Including Cassettes) | Audio/Video Production Services Complete | Background Music Services | Broadcasting Services, Radio | Broadcasting Services, Television | Communications Marketing Services | Conference Coordinating and Planning Services | Cable Television Services (Includes Pay-Per-View Services) | Captioned Services for the Hearing Impaired | EDI (Electronic Data Interchange) Value Added Network (VAN) Services | Editorial Services | Electronic Information and Mailing Services | DVD Duplicating Services | Facsimile (Fax) Services | Film Processing, Duplicating and Touch Up Services | Film Production | Fulfillment (Incls. Data Processing, Packaging, Labeling and Mailing of Literature as a Package) | Graphic Arts Services (Not Printing) | High Volume, Telephone Call Answering Services (See 915-05 for Low Volume Services) | Information Highway Electronic Services (Internet, World Wide Web, etc.) | Journalistic Services | Mailing Services (Incl. Collating, Packaging, Sorting and Delivery) | Mail Services, Express | Magazine Distribution Services | Media Clipping Services: Clippings, Outtakes, Critiques, Summaries, etc.(Incl. State, Local, Out-of-State and International) | Microfiche/Microfilming Services | Motion Picture Production and Distribution Services | Monitoring Services: Parolee, Patient, Convict, etc. | Newspaper and Publication Advertising | Photography (Not Including Aerial Photography) | Public Information Services (Incl. Press Releases) | Radio Commercial Production | Telephone Services, Cellular | Telephone Services Includes Installation, Moves, Changes, Adds, Programming, Training, etc. | Telephone Services, Long Distance and Local (Including Telex and Watts Services) | Television Commercial Production | Telecommunication Services (Not Otherwise Classified) | Typing and Word Processing | Telegram/Telegraph Services | Video Production | Television Services, Satellite | Video Recording | Video Tape Duplicating and Production | Voice Mail Services | Warning System Services, Citizen | Web Page Design and/or Management Services | Wiring Services, Data/Voice | Marketing Consulting | Advertising Consulting | Communications: Public Relations Consulting | Marketing Services (Incl. Distribution, Research, Sales Promotions, etc.) | Public Opinion Surveys | Sign Painting Services | Sign Making Services",COMMUNICATIONS AND MEDIA RELATED SERVICES,Business services
96100 | 96200 | 91800,Arts (visual and performing) and arts services,"Theatrical Services (Including Production, Scenery Design, Stage, etc.) | Artists | Costume Design and Creation Services | Musical Production Services | Actor/Thespian Services | Amusement and Entertainment Services (Incl. Performing Arts Professionals) | Arts Services (Cultural, Design, Visual, etc.) | Electrostatic Painting | Framing Services, Picture | Restoration/Preservation Services (Of Antiques, Costumes, Paintings, and Other Objects) | Public art",,Business services
91800,Consulting services,"Alcohol and Drug Abuse Consulting Services | Accounting/Auditing/Budget Consulting | Administrative Consulting | Advertising Consulting | Agricultural Consulting | Air Pollution Consulting | Anthropology Consulting | Analytical Studies and Surveys (Consulting) | Asbestos Consulting | Appraisals Consulting | Architectural Consulting | Archeological Consulting | Aviation Consulting | Boiler Chemistry Consulting | Buildings, Structures and Components Consulting | Business Consulting, Small | Business Consulting, Large | Compliance Consulting, American Disabilities Act (ADA) | Communications: Public Relations Consulting | Community Development Consulting | Computer Hardware Consulting | Computer Software Consulting | Computer Network Consulting | Construction Consulting | Consulting Services (Not Otherwise Classified) | Disadvantage Business Enterprise (DBE) and Historically Underutilized Business (HUB) Consulting Including Technical Assistance | Economy Consulting | Education and Training Consulting | Elevator/Escalator/Moving Walks Consulting Services | Employee Benefits Consulting | Energy Conservation Consulting | Engineering Consulting | Environmental Consulting | Fashion Consulting Services | Feasibility Studies (Consulting) | Finance/Economics Consulting | Food Service Consulting | Furnishings Consulting | Geological Consulting and Study | Governmental Consulting | Horticultural Consulting | Housing Consulting | Human Relations Consulting | Human Resources Consulting | Human Services Consulting | Insurance Consulting | Inventory Consulting | Lakes, Rivers, and Other Waterway Management Consulting Services | Landscaping Consulting | Legal Consulting | Management Consulting | Marketing Consulting | Mail Consulting Services | Medical Consulting | Minority and Small Business Consulting | Moving/Relocation Consulting Service | Natural Disasters (Fire, Flood, Wind, Quakes) Consulting | Organizational Development Consulting | Personnel/Employment Consulting | Public Art | Purchasing Consulting (Incl. Specification Development) | Quality Assurance/Control Consulting | Real Estate/Land Consulting (Including Land Survey Consultin | Strategic Technology Planning and Consulting Services | Roofing Consultant | Urban Planning Consulting | Security/Safety Consulting | Traffic Consulting | Telecommunications Consulting | Transportation Consulting | Utilities: Gas, Water, Electric Consulting | Ergonomic Consulting Services | Hazardous Waste Consulting Services (RCRA)",CONSULTING SERVICES,Business services
