TYPE OF CONTRACT,CONTRACT,PA,COMPANY,SERVICE,EXPIRATION,CONTROLLER,ADDRESS1,ADDRESS2,E-MAIL ADDRESS,CONTACT,PHONE #,FAX #,NOTES
A-BID,A-045-14,PR,JAMES L. SMITH AGENCY,ALCOA- NORTH SHORE PARCEL # INSURANCE,10/31/15,50831,,,,,,,
A-BID,A-047-14,PR,JAMES L. SMITH AGENCY,CAMERA PLACEMENT INSURANCE ,6/30/16,51248,,,,,,,
A-BID,A-055-12,WC,LAZZARO'S,CONCESSIONAIRE SERIVCES - SCHENLEY PARK ICE RINK,9/30/15,49813,102 A FIRST STRET,"TRAFFORD, PA  15085",atschenley@yahoo.com,Dolores Lazzaro,412-576-6858,,
A-BID,A-070-15,EP,"BROWN BAG DELI, INC.",CATERING SERVICES,6/30/16,51247,"741   5TH AVENUE, CHATHAM CENTER II","PITTSBURGH, PA  15219",brown_bag_deli@verizon.net,Barry Fuss,412-471-3354,412-566-1755,
A-BID,A-070-15,EP,ITALIAN SPECIALTY AND GOURMET CATERING,CATERING SERVICES,6/30/16,51247,1015 BROOKLINE BOULEVARD,"PITTSBURGH, PA  15226",bill@is-catering.com,Bill Blefere,412-551-1255,412-341-9090,
A-BID,A-070-15,EP,MITCHELL'S RESTAURANT,CATERING SERVICES,6/30/16,51247,304 ROSS STREET,"PITTSBURGH, PA  15219",jim@mitchells.tv,Jim Mitchell,412-512-8099,412-471-9808,
A-BID,A-070-15,EP,STRICTLY BUSINESS CATERING (SBCFOODS LLC),CATERING SERVICES,6/30/16,51247,713 MAIN STREET,"PITTSBURGH, PA 15215",sbcfoods@aol.com,Clinton Bleil,412-906-7703,412-449-0111,
A-BID,A-083-14*,PR,OMNI BY DESIGN,BOOKBINDING SERVICES ,6/30/15,50830,420 FORLAND STREET,"PITTSBURGH, PA  15212",ed@omnibydesign.com,Edward Heal,412-322-6676,412-322-6678,
A-BID,A-112-14,EP,"""O"" RING & ASSOCIATES, INC",MAINTENANCE OF BAUER COMPRESSORS,9/30/17,50801,5363 ROUTE 36,"COOLSRING, PA 15730",rbeatty@breathingair.com,Robert Beatty,814-938-5489,814-938-3929,
A-BID,A-190-15,PR,JAMES L. SMITH AGENCY,ERRORS & OMISSIONS INSURANCE,6/30/16,51249,,,,,,,
A-BID,A-228-14,EP,AIR SCIENCE CONSULTANTS,WEATHER SERVICES AGREEMENT,6/30/16,50713,347 PRESTLEY RD,"BRIDGEVILLE, PA  15017",airsci@skywatchweather.com,Stan Penkala,412-221-6000,412-221-3160,
A-BID,A-280-15,PR,GRIMES INTERIORS,RESTORE/REHABILITATE CITY COUNCIL FURNITURE,6/30/16,51257,,,,,,,
B-BID,B-004-10**,EP,"NELSON TREE SERVICE, INC","PRUNING & REMOVAL OF TREES, ETC.",3/31/15,48592,1463 SIMONTON ROAD,"ASHLAND, OH  44805",mnichols@nelsontree.com,Aaron Blower / Molly Nichols,419-929-8000,877-900-7016,
B-BID,B-154-09,PR,"TBE, INC. DBA SONITROL SECURITY SYSTEMS",SECURITY SYSTEM INSTALLATION/MONITORING,12/30/14,48192,611 MELWOOD AVENUE,"PITTSBURGH, PA  15214",bweiss@sonitrol.com,Bernard Weiss,412-681-6701,412-681-6828,
B-BID,B-004-10**,EP,BENTLEY TREE CARE,"PRUNING & REMOVAL OF TREES, ETC.",3/31/15,48492,9353 ROUTE 20,"RIPLEY, NY 14775",taylortree@wny.twcbc.com,Bill Bentley,716-736-3763,716-736-2630,
B-BID,B-028,BK,DOLLAR THIFTY HERTZ,(SERVICE AGREEMENT)(CONTRACT FOR RENTAL VEHICLES),,46268,483 OLD FALLS BLVD.,"NORTH TONAWANDA, NY 14120",Jbruckner@hertz.com,Jeannette Bruckner,412-979-8751, ,
B-BID,B-004-10**,EP,DAVEY TREE EXPERT COMPANY ,"PRUNING & REMOVAL OF TREES, ETC.",3/31/15,48491,207 FREEDOM DRIVE,"LAWRENCE, PA  15055",miles.stephens@davey.com,Miles Stephens,724-746-8852,724-746-8693 ,
B-BID,B-004-10**,EP,BARTLETT TREE EXPERT CO,"PRUNING & REMOVAL OF TREES, ETC.",3/31/15,48490,180 BILMAR DR. SUITE 6,"PITTSBURGH, PA  15205",rvrboncic@bartlett.com,Richard Vrboncic,412-922-9916,412-922-9917,
B-BID,B-004-10**,EP,ARBOREL TREE SERVICE,"PRUNING & REMOVAL OF TREES, ETC.",3/31/15,49010,983 ROUTE 910 ,"ALLISON PARK, PA  15101",rob@arborel.com,Robert Kruljac,412-953-1955,412-767-4502,
A-BID,A-072-15,PR,OMNI BY DESIGN,BOOKBINDING SERVICES ,3/31/16,51233,420 FORLAND STREET,"PITTSBURGH, PA  15212",ed@omnibydesign.com,Edward Heal,412-322-6676,412-322-6678,
