TYPE OF CONTRACT,CONTRACT,PARENT,COMPANY,SERVICE,EXPIRATION,CONTROLLER,ADDRESS1,ADDRESS2,E-MAIL ADDRESS,CONTACT,PHONE #,FAX #,NOTES
STATE,4400010438,6350,SimplexGrinnell,"SURVEILLANCE, SECURITY AND FIRE SYSTEMS",10/31/2017,50023,,, ,, , ,
STATE,4400010446,6350,TYCO,"SURVEILLANCE, SECURITY AND FIRE SYSTEMS",10/31/2017,50023,,,,,,,
STATE,4400010451,6350,Triguard,"SURVEILLANCE, SECURITY AND FIRE SYSTEMS",10/31/2017,50023,,,,,,,
STATE,4400010452,6350,Halifax Security d/b/a NAV,"SURVEILLANCE, SECURITY AND FIRE SYSTEMS",10/31/2017,50023,,,,,,,
STATE,4400010453,6350,Anixter,"SURVEILLANCE, SECURITY AND FIRE SYSTEMS",10/31/2017,50023,,,,,,,
STATE,4400010455,6350,Berkshire,"SURVEILLANCE, SECURITY AND FIRE SYSTEMS",10/31/2017,50023,,,,,,,
STATE,4400010491,6350,App Techs,"SURVEILLANCE, SECURITY AND FIRE SYSTEMS",10/31/2017,50023,,,,,,,
STATE,4400010493,6350,Audio Video Repair,"SURVEILLANCE, SECURITY AND FIRE SYSTEMS",10/31/2017,50023,,,,,,,
STATE,4400010494,6350,Com-Tech,"SURVEILLANCE, SECURITY AND FIRE SYSTEMS",10/31/2017,50023,,,,,,,
STATE,4400010501,6350,El Tech,"SURVEILLANCE, SECURITY AND FIRE SYSTEMS",10/31/2017,50023,,,,,,,
STATE,4400010502,6350,Electronic Systems Integration,"SURVEILLANCE, SECURITY AND FIRE SYSTEMS",10/31/2017,50023,,,,,,,
STATE,4400010505,6350,ESCO,"SURVEILLANCE, SECURITY AND FIRE SYSTEMS",10/31/2017,50023,,,,,,,
STATE,4400010506,6350,Fire Alarm Maintenance,"SURVEILLANCE, SECURITY AND FIRE SYSTEMS",10/31/2017,50023,,,,,,,
STATE,4400010508,6350,Kint,"SURVEILLANCE, SECURITY AND FIRE SYSTEMS",10/31/2017,50023,,,,,,,
STATE,4400010509,6350,Kistler,"SURVEILLANCE, SECURITY AND FIRE SYSTEMS",10/31/2017,50023,,,,,,,
STATE,4400010512,6350,Harrington and Sons,"SURVEILLANCE, SECURITY AND FIRE SYSTEMS",10/31/2017,50023,,,,,,,
STATE,4400010514,6350,Industrial Control,"SURVEILLANCE, SECURITY AND FIRE SYSTEMS",10/31/2017,50023,,,,,,,
STATE,4400010516,6350,Knight Security,"SURVEILLANCE, SECURITY AND FIRE SYSTEMS",10/31/2017,50023,,,,,,,
STATE,4400010518,6350,M3T,"SURVEILLANCE, SECURITY AND FIRE SYSTEMS",10/31/2017,50023,,,,,,,
STATE,4400010519,6350,Master Fire and Security,"SURVEILLANCE, SECURITY AND FIRE SYSTEMS",10/31/2017,50023,,,,,,,
STATE,4400010520,6350,Mobile Communication,"SURVEILLANCE, SECURITY AND FIRE SYSTEMS",10/31/2017,50023,,,,,,,
STATE,4400010521,6350,Morocco Electric,"SURVEILLANCE, SECURITY AND FIRE SYSTEMS",10/31/2017,50023,,,,,,,
STATE,4400010522,6350,Philadelphia Protection,"SURVEILLANCE, SECURITY AND FIRE SYSTEMS",10/31/2017,50023,,,,,,,
STATE,4400010524,6350,Premium Fire and Security,"SURVEILLANCE, SECURITY AND FIRE SYSTEMS",10/31/2017,50023,,,,,,,
STATE,4400010525,6350,Schneider Electric,"SURVEILLANCE, SECURITY AND FIRE SYSTEMS",10/31/2017,50023,,,,,,,
STATE,4400010526,6350,Security and Data Technologies Inc,"SURVEILLANCE, SECURITY AND FIRE SYSTEMS",10/31/2017,50023,,,,,,,
STATE,4400010527,6350,Stanley Security,"SURVEILLANCE, SECURITY AND FIRE SYSTEMS",10/31/2017,50023,,,,,,,
STATE,4400010528,6350,TBE Inc,"SURVEILLANCE, SECURITY AND FIRE SYSTEMS",10/31/2017,50023,,,,,,,
