Company,County Located,Ammunition,Breathing Systems,Cleaning Equipment & Supplies,Communications Equipment,Emergency Medical Equipment & Supplies,"Emergency Warning Lights, Lightbars & Sirens","Fire Hose, Nozzles, Appliances, Adapters & Accessories",Fire Suppression Equipment & Supplies,"Firefighting & Rescue Equipment, Tools & Supplies",Generators and Lighting,Law Enforcement Equipment & Supplies,Miscellaneous- Loose Supplies,Personal Protective Equipment,Public Safety Equipment & Supplies,Manufacturers,Expiration,CONTROLLER,ADDRESS1,ADDRESS2,E-MAIL ADDRESS,CONTACT,PHONE #,FAX #
"10-8 Emergency Vehicle Service, LLC",,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,"Able 2 Products Company; Brooking Industries, Inc.; Code 3; Federal Signal; Feniex; Go Rhino; Havis, Inc.; Impact Products; Jotto Desk-Jotto Public Safety (GoJotto); Lund Equipment Co. Inc.; Luverne; PowerArc Warning Lights; Sensible Products; Setina Manufacturing; SoundOff Signal",6/23/16,48363,,,,,,
"3 Rivers Fire Equipment (T.J. II, Inc. d/b/a)",Allegheny,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,"Akron Brass Co.; Angus Fire; Avon Protection; Bauer Compressors; Cutters Edge Industries, Inc.; Firecraft Safety; FoxFury Lighting Solutions; Globe Holding Company, LLC; Groves, Inc.- Ready Rack; HAIX; Hale Products, Inc. (A Unit of IDEX Corp.); ISG/INFRASYS; Ketterer's Rescue Products; Kidde (Brand/Division of United Technologies Corp.); KOCHEK CO., INC.; Lakeland Industries, Inc.; Mercedes Textiles Limited; Paratech, Inc.; SENSIT Technologies; Sperian Protection; Survivair; Tele-Lite; Tempest Technologies; Thunderstorm Foam; VizCon, LLC; Williams Fire & Hazard Control",2/3/16,48363,,,,,,
"911 Rapid Response, LLC",,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,"5.11 Tactical; Aervoe; Apollo Wireless; ASP, Inc.; Atlanco; Bates; Bianchi International; Blackhawk Products Group; Boston Leather; Carson Sirens; Code 3; Defense Technology; Dicke Safety Products; Dickies (Williamson-Dickie ManufacturingCompany); EMIEmergency
Medical International; Feniex; Fire Research Corp.; Fire-Dex, LLC; First Mobile Technologies; GAME Sportswear; GH Armor Systems; Hatch Corporation; Havis, Inc.; Hero's Pride; HWI Gear; Impact Products; Jotto Desk-Jotto Public Safety (GoJotto); Kussmaul Electronics Company; Lakeland Industries, Inc.; Leathersmith; LION Apparel, Inc.; MDI; Nova Electronics (LED/Strobe Warning Systems); Occunomix; OTTO Engineering (Communications); Phenix Technology, Inc. (Helmets); Progard Products, LLC; Radians, Inc. (PPE); Ringers Gloves; Safariland, LLC; Setina Manufacturing; Sho-Me; Smith & Warren; Smith & Wesson; StreamLight; TMK; Tomar Electronics; TURTLE PLASTICS; Uncle Mikes; W. Alboum Hat Company; Weldon (Div. of Akron Brass); Whelen Engineering Company, Inc.; Zak Tools; Ziamatic Corp.",1/10/16,48363,,,,,,
"911 Safety Equipment, LLC",,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Boston Leather; Bullard (PPE); Elbeco; StreamLight,7/3/16,48363,,,,,,
"Abe Bernstein Clothing, Inc. ",Allegheny,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Atlanco; Bates; Carhartt; Hatch Corporation; Horace Small; Raine; Red Kap; Red Wing; Smith & Wesson; WOLVERINE,3/11/16,48363,,,,,,
All Traffic Solutions (Inuitive Controls Ltd. DBA),,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,All Traffic Solutions; Huston Radar,11/24/15,48363,,,,,,
"Bob Barker Company, Inc.",,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,"Bob Barker Co., Inc.; Continental Fan Manufacturing, Inc. (CFM); Cypress Medical; Diversey, Inc. (formerly JohnsonDiversey); Dynarex Corporation; Easypaks; GoodSense; Micro Flex",4/22/16,48363,,,,,,
"Brekford International Corp. d/b/a Pelican Mobile, Tactical Solution Partners",,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,"911 EP; Brekford Corp. (Law Enforcement/Public Safety Products); Elsag North America; Gamber-Johnson; Ledco; Panasonic; Pelican; Precision Mounts; Pro-gard Products, LLC; RonTan; SoundOff Signal",4/21/16,48363,,,,,,
"Brico Technologies, Inc.",,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,"David Clark Company; Hewlett-Packard (HP); Icom America, Inc.; Impact Products; Kenwood; Motorola, Inc.; OTTO Engineering (Communications); Wilson Electronics; Zetron",2/28/16,48363,,,,,,
Cardiac Science Corporation,,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Cardiac Science Corporation,2/16/16,48363,,,,,,
"Centre Communications, Inc.",,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,"Kenwood; Motorola, Inc.; TESSCO",3/6/16,48363,,,,,,
"Coban Technologies, Inc",,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Coban Technologies, Inc.",6/15/16,48363,,,,,,
"Compressed Air Systems, Inc.",,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,"Angus Fire; Bauer Compressors; Command Light; Honeywell; Kidde (Brand/Division of United Technologies Corp.); Rapid Deployment Products; Super Vac (Super Vacuum Mfg., Inc.); Ziamatic Corp.",7/3/16,48363,,,,,,
CPR HeartStarters Safety Training LLC,,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Phillips Health Care,8/22/15,48363,,,,,,
CreateSafety,Allegheny,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,"Cardiac Science Corporation; Defibtech, LLC; Heartsine Samaritan AED; Laerdal; Philips Heartstart Defibrillator (AED); Physio-Control, Inc.; Prestan Products; ZOLL Medical Corporation",9/16/15,48363,,,,,,
"Digital Ally, Inc.",,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,"Digital Ally, Inc.",2/17/16,48363,,,,,,
"Endorcement Video, LLC",,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,"Enforcement Video, LLC; Patrol PC; WatchGuard Video",3/14/16,48363,,,,,,
"ESI Equipment, Inc.",,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"ESI Equipment, Inc.; Holmatro; Junkyard Dog Industries",2/17/16,48363,,,,,,
Force One Body Armor,,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Force One,9/27/15,48363,,,,,,
"FreCom, Inc",,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Hytera; Vertex Standard (Radio Communications Equipment),1/27/16,48363,,,,,,
"Hensler Communication Consultants, LP d/b/a HC Global",Westmoreland,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,"Federal Signal; Havis, Inc.; Hytera; Kenwood; Laguna 3P; Power Products; RAM Mounting Systems; Roscoe Medical; Setina Manufacturing; Sound Off Signal",3/31/16,48363,,,,,,
Hess Embroidery & Uniforms,,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,"Dutyman; Edwards Garment; Elbeco; Fechheimer Brothers Company; Flying Cross; Gould & Goodrich, Inc.-G&G Holsters; HHHelly Hansen; Horace Small; HWC; Liberty; Magnum (Footwear); PACA Body Armor; Peerless Handcuff Company; Point Blank Body Armor; PROPPER; Red Kap; Rocky Brands, Inc. (formerly Rocky Shoes & Boots, Inc.); Safariland, LLC; SanMar; Smith & Warren; Southeastern; Spiewak; Thorogood; Tri Mountain; Ultra Club; Uncle Mikes; United Uniforms; VF Corporation (Vanity Fair)",6/1/16,48363,,,,,,
"Ibis Tek, LLC",Butler,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,"Federal Signal; Gamber-Johnson; Havis, Inc.; HG2 Emergency Lighting; HiNT Peripherals; Ibis Tek, LLC; Jotto Desk-Jotto Public Safety (GoJotto); Odyssey Automotive Specialty, Inc.; Progard Products, LLC; SoundOff Signal; Troy; TruckVault; Tuffy Security Products; Tufloc; Whelen Engineering Company, Inc.",1/18/16,48363,,,,,,
"Island Tech Services, LLC",,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,"CradlePoint; Inmotion Technology; Panorama Antennas; Vievu, LLC",7/2/16,48363,,,,,,
J-Tech Emergency Lighting,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,"Able 2 Products Company; Code 3; Federal Signal; Gamber-Johnson; Go Rhino; Havis, Inc.; Jotto Desk-Jotto Public Safety (GoJotto); Pro-gard Products, LLC; Setina Manufacturing; SoundOff Signal; Whelen Engineering Company, Inc.",10.24/15,48363,,,,,,
K&C Communications,,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,"Federal Signal; Federal Signal; Motorola, Inc.",10/26/15,48363,,,,,,
"Kair, Inc.",Butler,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,"e2v-Argus Thermal Imaging; Interspiro, Inc.",11/13/15,48363,,,,,,
Kaza Fire Equipment Co.,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AJAX Tool Works; Akron Brass Co.; Alco-Lite; Amerex Corporation; American Firewear; AMKUS Rescue Systems; Angus Fire; Boston Leather; Brooks Equipment Company; Cairns & Bros.; Code 3; Duo-Safety Ladder Corp.; Federal Signal; Fire Hooks Unlimited; Fire Research Corp.; FireCom; FireQuip; Fol-Da-Tank; FoxFury Lighting Solutions; Globe Holding Company, LLC; Groves, Inc.-Ready Rack; Hale Products, Inc. (A Unit of IDEX Corp.); KOCHEK CO., INC.; Lakeland Industries, Inc.; Majestic Fire Apparel, Inc.; MSAMine Safety Appliances; National Foam; Paratech, Inc.; Performance Advantage Co; R&B Fabrications, Inc.; RED HEAD BRASS; Rock-N-Rescue (Weinel); Shelby Gloves; South Park Corporation; Star Headlight & Lantern Co., Inc.; StreamLight; Super Vac (Super Vacuum Mfg., Inc.); T-N-T TOOLS; Task Force Tips; Tele-Lite; Tempest Technologies; Thorogood; Topps Safety Apparel; TURTLE PLASTICS; WATEROUS COMPANY; Whelen Engineering Company, Inc.; Ziamatic Corp.",11/22/15,48363,,,,,,
Keystone Communication Service,,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,"Decatur Electronics; Jotto Desk-Jotto Public Safety (GoJotto); Kussmaul Electronics Company; Whelen Engineering Company, Inc.",2/4/16,48363,,,,,,
