Company,County Located,Bleacher Seating,Fitness Equipment,In-line Hockey Rinks/Skateboard Park Components (for existing rinks/parks only),"Modular Gym Flooring, Sports Mats",Playground Equipment,Playground Safety Surfacing Material,Portable or Replacement Scoreboards & Electronic Timers,Pre-fabricated Shelters,Site Amenities,Sports Equipment,Storage Sheds & Lockers,Water Equipment,Manufacturers,Expiration,CONTROLLER,ADDRESS1,ADDRESS2,E-MAIL ADDRESS,CONTACT,PHONE #,FAX #
Academy Performance and Exercise d/b/a G2 Industries LLC,,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Fitness Connection; Legend Fitness; MF Athletic; Motus; Nautilus Inc.; Premier Specialty Flooring; Sci Fit Systems Inc.; StairMaster; Star Trac; York Barbell,2/16/16,48359,,,,,,
"Advantage Sport & Fitness, Inc.",,No,Yes,No,Yes,No,No,No,No,No,No,No,No,"Andamiro; Dynamic Fitness; Everlast (Sports); Fitness on Demand; Inflight Fitness; Interactive Fitness Holdings (IFH); Ivanko Barbell Company; Keiser Corporation; Multisensory Fitness; Nautilus Inc.; Nexersys; Performance Health Systems; Powerlift; Precor, USA; Scifit; Spirit; SPRI; TKO Sports Group,; Total Gym; Trixter North; TRX Fitness; UMAX; York Barbell",10/4/15,48359,,,,,,
Aluminum Athletic Equipment Co.,,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,AAE-Aluminum Athletic Equipment Co.,2/8/16,48359,,,,,,
American Ramp Company,,No,No,Yes,No,Yes,No,No,No,No,No,No,No,American Ramp Company,3/15/16,48359,,,,,,
"Anthony F. Ramondo & Son, Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"American Playground Corporation; Bison, Inc.; Blue Valley Industries, Inc.; Childforms; Kay Park Recreation; National Recreation Systems, Inc.; Ravensforgeconing; Sport Systems Unlimited Corp.; Webcoat, Inc.",4/21/16,48359,,,,,,
"B&R Pools and Swim Shop (Dream Pools and Spas, Inc. DBA)",Allegheny,No,No,No,No,No,No,No,No,No,Yes,No,Yes,"Aqua Products, Inc.; Chemtrol; Competitor; Dolfin Swimwear; Duraflex International; FINIS; Hanovia UV Systems; Hayward Pool Products; Mermade Filter; NZ Manufacturing; Richey Industries, Inc.; S.R. Smith; Santa Barbara Control Systems; Spectrum Aquatic Lifts; Speedo; TYR; Water Tech",10/21/15,48359,,,,,,
"B.Y.O. Playground, Inc.",,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,"Everguard Surfacing; First Team Sports; GT Grandstands; Jayhawk Plastics; Play & Park Structures; Playdesign; PlayLand International Inc.; Rubberecycle; SofTile; Superior Shade; Tot Turf; UltraPlay, Inc. (a PlayCore Company); Webcoat, Inc.; Xgrass; Zeager Brothers",6/1/16,48359,,,,,,
"Bitting Recreation, Inc.",,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,"Elephant Play/Climbinet; Everlast Climbing; GameTime; National Recreation Systems, Inc.; RCP Shelters; UltraPlay, Inc. (a PlayCore Company)",3/15/16,48359,,,,,,
"BSN Sports, Inc.",,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Sport Supply Group Inc.,4/21/16,48359,,,,,,
C.M. Eichenlaub Co.,Allegheny,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,"Debourgh Manufacturing Co.; Hussey Seating Company; JayPro Sports Equipment; Nevco Scoreboard Company; Performance Sports Systems (PSS); ProMats Athletics; Scranton Products (Washroom Partitions, Lockers, Vanities)",2/3/16,48359,,,,,,
