Company,County Located,4x2 Utility Vehicles,Air Compressors & Generators (truck mounted),Alternate Fuel Conversions,Alternate Fuel Vehicles,Body Upfits,Bucket Trucks,Cab & Chassis,Cranes (truck mounted),Garbage Trucks,Hydraulic Systems (truck mounted),Liftgates,Lifts- Vehicle Mobile (which do not require construction),Liquid Winter Maintenance Systems (truck mounted),Pickup Trucks and Cargo Vans,Recycling Trucks,Salt/Sand Spreaders (truck mounted),Snowplows (truck mounted),Trailers,Vacuum Trucks/Street Sweepers,Manufacturers,Expiration,CONTROLLER,ADDRESS1,ADDRESS2,E-MAIL ADDRESS,CONTACT,PHONE #,FAX #
A&H Equipment Company,Allegheny,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,"American Roll-Off (Palfinger); Buyers Products Company; Cargill; Coastal Technical Sales, Inc.; Conley Fabrication LLP; Elgin Sweeper Company; Envirosight; Epoke; Falcon Road Maintenance Equipment; GSP Marketing, Inc./G-S Products; Harben, Inc.; Henderson Manufacturing; JerrDan; John Bean Sprayers; KANN Manufacturing Corporation; KEG Technologies, Inc.; Loadmaster, Inc. ; Loughberry Mfg. Corp.-TARCO; LyCox Enterprises; M-B Companies; Monroe Truck Equipment; Mustang Trailers; Oshkosh Corporation; Sewer Equipment Co. of America; Stahl (Truck Bodies); Supreme MidAtlantic Corp (Truck Bodies); Vactor; Vanguard Systems by Hydro Products, Inc.; VMAC (Vehicle Mounted Air Compressors); Wille North America",4/21/16,48557,,,,,,
"Abeloff Pontiac, Inc. dba Abeloff Buick-GMC-Nissan-Kia",,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,General Motors (Chevrolet-Buick-GMC-Cadillac); Nissan,10/25/15,48557,,,,,,
AJ's Truck and Trailer Center Inc.,,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,"A.R.E. Accessories, LLC; Car Mate Trailers, Inc.; Carry-On Trailer, Inc.; Congdon Associates Distributing Co.; Fisher Engineering (Plows/Spreaders); Quality Trailers; Snow-Ex; Thieman Tailgates, Inc.",10/13/15,48557,,,,,,
Allegheny Ford Truck Sales,Allegheny,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Ford Motor Company,5/18/15,48557,,,,,,
"Altec Industries, Inc.",,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,"Altec industries, Inc.",6/1/16,48557,,,,,,
"Anjer, Inc",,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,"Anthony Liftgates, Inc.; Brigade Electronics; Buyers Products Company; Contral Heavy Equipment Trailers; Dorsey Trailers; EagleLift (Palfinger); Evans Trailers; EZ Dumper; INTERLIFT, Inc.; Kinedyne Corporation; Leyman Lift Gates; Maxon Lift Corp.; Morgan Corporation (Truck Bodies); Polar Slip-In Truck Body; Stahl (Truck Bodies); Strick Trailers; Thieman Tailgates, Inc.; Tommy Gate (Woodbine Mfg. Co.); Waltco Truck Equipment Co.",2/3/16,48557,,,,,,
"Apple 200 Eisenhower Inc. dba Apple Chrysler, Dodge, Jeep, Ram of Hanover Inc.",,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Chrysler,3/12/16,48557,,,,,,
"Apple Automotive Group, Inc., DBA Apple Ford",,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Ford Motor Company,3/15/16,48557,,,,,,
"Apple Ford of York, Inc. dba Beasley Ford Lincoln",,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Ford Motor Company,7/12/16,48557,,,,,,
"Baierl Chevrolet, Inc.",Allegheny,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,General Motors (Chevrolet-BuickGMC-Cadillac),9/10/15,48557,,,,,,
