Company,County Located,Alternate Fuel Conversions,Alternate Fuel Vehicles,Fleet Cars,Fleet Crossover Vehicles,Fleet Passenger Vans,Fleet SUVs,Manufacturers,Expiration,CONTROLLER,ADDRESS1,ADDRESS2,E-MAIL ADDRESS,CONTACT,PHONE #,FAX #
"Abeloff Pontiac, Inc. dba Abeloff Buick-GMC-Nissan-Kia",,No,No,Yes,Yes,Yes,Yes,"General Motors (Chevrolet-Buick-GMC-Cadillac); Kia Motors America, Inc.; Nissan",10/25/15,50160,,,,,,
"Apple 200 Eisenhower Inc. dba Apple Chrysler, Dodge, Jeep, Ram of Hanover Inc.",,No,Yes,Yes,Yes,Yes,Yes,Chrysler,3/11/16,50160,,,,,,
"Apple Automotive Group, Inc., DBA Apple Ford",,No,No,Yes,Yes,Yes,Yes,Ford Motor Company,3/2/16,50160,,,,,,
"Auto Group Enterprises, Inc. dba Clarion Ford dba Clarion Chrysler Dodge Jeep",,Yes,Yes,Yes,Yes,Yes,Yes,Chrysler; Ford Motor Company,6/20/16,50160,,,,,,
Beans Class Ford Mercury Inc DBA New Holland Auto Group,,No,No,Yes,Yes,Yes,Yes,Chrysler; Ford Motor Company; Toyota Motor Sales USA,4/25/16,50160,,,,,,
"Berger Family Dealerships, Inc.",,No,Yes,Yes,Yes,Yes,Yes,Chrysler; General Motors (Chevrolet-Buick-GMCCadillac); Mazda,9/4/15,50160,,,,,,
"Beyer Ford, LLC",,No,No,Yes,Yes,Yes,Yes,"Chrysler; Ford Motor
Company",4/22/16,50160,,,,,,
"Bob Fisher Chevrolet, Inc.",,No,No,Yes,Yes,Yes,Yes,General Motors (Chevrolet-Buick-GMC-Cadillac),4/22/16,50160,,,,,,
Brown Daub Buick Pontiac Chevrolet Inc. dba Wind Gap Chevrolet Buick,,Yes,Yes,Yes,Yes,Yes,Yes,General Motors (Chevrolet-Buick-GMC-Cadillac),1/5/16,50160,,,,,,
"Chevrolet 21, Inc.",,No,No,Yes,Yes,Yes,Yes,General Motors (Chevrolet-Buick-GMC-Cadillac),2/26/16,50160,,,,,,
"Dave Hallman Chevrolet, Inc",,No,No,Yes,Yes,Yes,Yes,General Motors (Chevrolet-Buick-GMC-Cadillac),4/13/16,50160,,,,,,
Fairway Motors Inc,,No,Yes,Yes,Yes,Yes,Yes,"General Motors (Chevrolet-Buick-GMC-Cadillac); Subaru Automotive (Subaru of America, Inc.)",9/10/15,50160,,,,,,
"Faulkner Chevrolet, Inc.",,No,No,Yes,Yes,Yes,Yes,General Motors (Chevrolet-Buick-GMC-Cadillac),4/22/16,50160,,,,,,
Fred Beans Ford Lincoln Mitsubishi Isuzu,,No,No,Yes,Yes,Yes,Yes,"Ford Motor Company; Mitsubishi Motors North America, Inc.",9/7/15,50160,,,,,,
Hoffman Ford Sales Inc.,,No,No,Yes,Yes,Yes,Yes,Ford Motor Company,4/22/16,50160,,,,,,
"Hondru Auto of E-Town, Inc. dba Hondru Chrysler Dodge Jeep Ram",,Yes,Yes,Yes,Yes,Yes,Yes,Chrysler,3/21/16,50160,,,,,,
"Hondru Chevrolet, Inc. d/b/a Hondru Chevrolet",,Yes,Yes,Yes,Yes,Yes,Yes,General Motors (Chevrolet-Buick-GMC-Cadillac),3/18/16,50160,,,,,,
"Hondru Ford, Inc.",,No,No,Yes,Yes,Yes,Yes,Ford Motor Company,3/2/16,50160,,,,,,
"John Meegan Ford, Inc.",Westmoreland,No,Yes,Yes,Yes,Yes,Yes,Ford Motor Company,4/22/15,50160,,,,,,
"Kenny Ross Chevrolet, Inc.",Westmoreland,No,No,Yes,Yes,Yes,Yes,General Motors (Chevrolet-Buick-GMC-Cadillac),3/9/16,50160,,,,,,
"Kightlinger Motors, Inc.",,No,No,Yes,Yes,Yes,Yes,Ford Motor Company; General Motors (Chevrolet-Buick-GMCCadillac),10/5/15,50160,,,,,,
"Koch Holdings, Inc. d/b/a Milham Ford",,No,No,Yes,Yes,Yes,Yes,Ford Motor Company,1/14/16,50160,,,,,,
"Kovatch Ford, Inc.",,No,No,Yes,Yes,Yes,Yes,Ford Motor Company,3/16/16,50160,,,,,,
"Lake Chevrolet, Inc.",,No,No,Yes,Yes,Yes,Yes,General Motors (Chevrolet-Buick-GMC-Cadillac),6/27/16,50160,,,,,,
"Lake Ford Lincoln Mercury, Inc.",,No,No,Yes,Yes,Yes,Yes,Ford Motor Company,2/17/16,50160,,,,,,
"Manderbach Ford (George D. Manderbach, Inc., dba)",,No,No,Yes,Yes,Yes,Yes,Ford Motor Company,2/17/16,50160,,,,,,
Mar-Eco dba Keystone Ford,,No,No,Yes,Yes,Yes,Yes,Ford Motor Company,6/28/16,50160,,,,,,
McCafferty Ford of Mechanicsburg,,Yes,No,Yes,Yes,Yes,Yes,Ford Motor Company,11/19/15,50160,,,,,,
"Pacifico Marple, LLC d/b/a Pacifico Marple Ford",,No,No,Yes,Yes,Yes,Yes,Ford Motor Company,4/22/16,50160,,,,,,
"Penske Buick GMC Trucks, Inc.",,No,No,Yes,Yes,Yes,Yes,General Motors (Chevrolet-Buick-GMC-Cadillac),1/15/16,50160,,,,,,
"Phil Fitts Ford, Inc.",,No,No,Yes,Yes,Yes,Yes,Ford Motor Company,3/11/16,50160,,,,,,
Smail Company Inc.,Westmoreland,No,No,Yes,Yes,Yes,Yes,Ford Motor Company; General Motors (Chevrolet-Buick-GMC-Cadillac),3/27/16,50160,,,,,,
"Solt Chevrolet Oldsmobile Inc, dba Brown Daub Chevrolet of Nazareth",,No,No,Yes,Yes,Yes,Yes,General Motors (Chevrolet-Buick-GMC-Cadillac),8/11/15,50160,,,,,,
Star Buick GMC Cadillac LLC,,No,No,Yes,Yes,Yes,Yes,General Motors (Chevrolet-Buick-GMC-Cadillac),1/6/16,50160,,,,,,
Stoltz of St. Marys Inc. dba Stoltz Ford of St. Marys,,No,No,Yes,Yes,Yes,Yes,Ford Motor Company,2/8/16,50160,,,,,,
"Stuckey Ford, Inc.",,No,No,Yes,Yes,Yes,Yes,Ford Motor Company,3/16/16,50160,,,,,,
Sunbury Motor Company,,No,No,Yes,Yes,Yes,Yes,Ford Motor Company,4/22/16,50160,,,,,,
Suppes Motor Sales Co.,,No,No,Yes,Yes,Yes,Yes,Ford Motor Company,4/22/16,50160,,,,,,
"Tri Star Chrysler of Somerset, Inc.",,No,No,Yes,Yes,Yes,Yes,Chrysler,4/10/16,50160,,,,,,
"Tri Star Ford of Somerset, Inc.",,No,No,Yes,Yes,Yes,Yes,,4/10/16,50160,,,,,,
Walker Motor Co. LLC,Armstrong,Yes,No,Yes,Yes,Yes,Yes,General Motors (Chevrolet-Buick-GMC-Cadillac),7/6/15,50160,,,,,,
"Westgate Chevrolet, Inc., dba Apple Chevrolet",,No,No,Yes,Yes,Yes,Yes,General Motors (Chevrolet-Buick-GMC-Cadillac),3/2/16,50160,,,,,,
"Whitmoyer Buick-Chevrolet, Inc.",,Yes,No,Yes,Yes,Yes,Yes,General Motors (Chevrolet-Buick-GMC-Cadillac),10/1/15,50160,,,,,,
"Whitmoyer Ford, Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,Ford Motor Company,9/28/15,50160,,,,,,
"Williams Auto Plaza VI, Inc. DBA Williams Ford Lincoln",,Yes,Yes,Yes,Yes,Yes,Yes,Ford Motor Company,12/30/15,50160,,,,,,
