Company,County Located,Desktop PCs and Monitors,Items to Support Multimedia Communications and LANs,Laptops/Notebooks and Personal Computing Devices,Peripherals and Networking Gear,Servers and Data Storage,Telephony Equipment and Software,Manufacturers,Expiration,CONTROLLER,ADDRESS1,ADDRESS2,E-MAIL ADDRESS,CONTACT,PHONE #,FAX #
"12:34 Micro Technologies, Inc.",,Yes,No,Yes,Yes,Yes,No,"Barracuda
Networks; Dell",5/18/16,48753,,,,,,
"2K Networking, Inc.",,Yes,No,Yes,Yes,Yes,No,"Apple; Barracuda
Networks; Crucial;
Dell; Hewlett-
Packard (HP);
Microsoft
Corporation",3/25/16,48753,,,,,,
"Aastra USA, Inc.",,No,No,No,No,No,Yes,"Aastra USA, Inc.",12/17/15,48753,,,,,,
Accent Electronic Systems Integrators,Allegheny,No,Yes,No,Yes,Yes,Yes,"Arecont Vision; Axis Communications; Cisco Systems; HewlettPackard (HP); InFocus; IQinVision; Lenel; Middle Atlantic Products; Panasonic; Pelco; Point Source Audio; ProCo Sound, Inc.; Renkus-Heinz Loudspeakers; Samsung; ShoreTel VOIP Product Line; Shure; USGA",6/29/15,48753,,,,,,
"Advanced Audio Visual Sales, Inc.",,No,Yes,No,Yes,No,No,"3M; AJA Video Systems; AMX; Anchor Audio; Ashly Audio; Atlas Sound; Audio Technica; AvinED Technical Furnishings, Inc.; AVTEQ (AV carts, mounts, videoconferencing furniture); Beyerdynamic; Biamp Systems; Broadata; Casio; Cetacea Sound; Chief Manufacturing; Christie Digital Systems; ClearOne; Clock Audio; Communications Specialties, Inc.; Compix Media; Contemporary Research; Crestron; Crown Audio, Inc. (Crown International); CyberTouch; Da- Lite Screen Co.; Digital Projection, Inc.; Display Devices; Draper, Inc.; DWI Enterprises; ELMO USA; Ensemble Designs; Epson; Extron Electronics; Fast Forward Video (FFV); For-A; Four Winds Interactive; Fujinon; Furman Audio; Grundorf; Hi Tech Furnishings; InFocus; Innovox Audio; JBL by Harman; JELCO, Inc.; KSI Professional; Lab Gruppen; LEIGHTRONIX; Liberty AV Solutions; LifeSize; Listen Technologies; Luxor; Mackie Audio; Marshall Electronics, Inc; Middle Atlantic Products; Mitsubishi Electric Visual & Imaging Systems; Mobileband Communications, Inc.; NEC; OPTOMA; Orion Images (LCD/LED CCTV); Panasonic; Peerless Industries, Inc. (AV/Mounts); Polycom; Premier Mounts; QSC Audio Products, LLC; Radvision; Rane Professional Audio Products; Raxxess; RDL-Radio Design Labs; Roland Systems Group; Sabine Audio; Sanyo North America; Sennheiser; Sharp Electronics Corporation; Shure; SI Screen Innovations; SMART Technologies; Sonic Foundry; Sony; Soundcraft by Harman; SVSi - Southern Vision Systems, Inc.; Symon; Tannoy; Tascam; Vaddio; VBrick; Vivitek; Whirlwind; Williams Sound; Wolfvision",11/18/15,48753,,,,,,
"Advanticom, Inc",Allegheny,Yes,Yes,Yes,Yes,Yes,No,Brocade; Dell,8/13/15,48753,,,,,,
"Advent Communications, Inc",,No,Yes,No,No,Yes,Yes,Avaya,10/1/15,48753,,,,,,
"AEC Group, Inc",Allegheny,No,No,No,Yes,Yes,No,Citrix,4/5/16,48753,,,,,,
"All Lines Technology (Fire Fighter Sales and Service Co., Inc.)",,Yes,Yes,Yes,Yes,Yes,Yes,Hewlett-Packard (HP),7/12/15,48753,,,,,,
"Anixter, Inc.",,No,Yes,No,No,No,No,"3M; ADC Krone; Alpha Technologies; Andrews; Anixter; APC by Schneider Electric (formerly American Power Conversion Corp.); Belden; Berk Tek; BSC; Burgess Computer Decisions, Inc.; Cablofil; Chatsworth Products, Inc. (CPI); Circa; CommScope; CompuLink; Corning, Inc.; CyberData Corporation; Dedicated Micros; Eastern Wire & Conduit; ERICO International Corporation- CADDY; Etherwan; F4W; Fiber Sensys; Fluke Networks; General Cable; GN Netcom; Great Lakes Wire & Cable; Hirschman; Hubbell; Integra (Office Products); ITW Linx; JDSU; Leviton Manufacturing Co., Inc.; Liebert; MicroSemi (formerly PowerdSine); Microtek; Middle Atlantic Products; Mohawk Cable/Wire; Omnitron; Ortronics Inc.; Panduit; Plantronics; Polycom; Porta Systems; QuikTron; Siemon; Specified Technologies, Inc. (STI); Superior Essex; Tappan; Transition Networks; Tripp Lite; Tyco- AMP; West Penn Wire; Winsted; Wiremold",9/8/15,48753,,,,,,
