Company,County Located,"Audio/Visual Carts, Mounts & Stands","Book, Chair & Table Caddies, Carts & Trucks",Cafeteria Furniture,Casegoods,"Computer Furniture, Ergonomic Keyboard Trays & Monitor Arms",Daycare & Preschool Furniture,Demountable Walls,Educational & Dormitory Furniture,Filing & Storage Units,"Freestanding Bookcases, Display Cases, Literature Racks & Shelving","Freestanding Office Furniture, Task Lighting, Panels, Partitions & Privacy Dividers",Healthcare Furniture,Laboratory Furniture,"Law Enforcement Furniture, Evidence Lockers, Weapons Racks & Storage",Library Furniture,"Lobby, Lounge, Reception & Waiting Room Furniture",Mailroom Furniture & Carts,"Meeting & Training Room Furniture, Lecturns & Podiums",Outdoor/Patio Furniture,Seating,Studio Furniture,Systems Furniture & Accessories,Tables,"Window Blinds/Shades, Curtains/Draperies, Drapery Hardware & Interior Shutters",Manufacturers,Expiration,CONTROLLER,ADDRESS1,ADDRESS2,E-MAIL ADDRESS,CONTACT,PHONE #,FAX #
"Adelphia Steel Equipment Company, Inc.",,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,"Adelphia Steel Equipment Co., Inc.",5/10/16,,,,,,,
"Affordable Office Furniture, Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,"Affordable Office Furniture, Inc.-AOF; Office Concepts; Office Star",2/3/16,49810,,,,,,
"Allsteel, Inc.",,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Allsteel,2/13/16,,,,,,,
ATD-AMERICAN CO,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Aarco Products, Inc.; ABCO Furniture; Allied Plastics Co., Inc.; Allseating Corporation; AmpliVox Sound Systems; Asco Manufacturing Ltd.; ATD-AMERICAN CO.; Balt; Best Rite; Correll, Inc.; Diversified Woodcrafts; Ghent; Great Openings; HPFI (High Point Furniture Industries); Jonti-Craft, Inc.; KFI Seating; Luxor; MAYLINE; MooreCo, Inc. (Furniture & Equip); National Public Seating-NPS; Office Star; OFM (Furniture); Oklahoma Sound Corp.; SAFCO; Scholar Craft; TAYCO; Texwood; UltraPlay, Inc. (a PlayCore Company); Wood Designs",3/11/16,,,,,,,
AvinED Technical Furnishings Inc,Allegheny,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,"AvinED Technical Furnishings, Inc.",1/29/16,49810,,,,,,
Bulldog Office Products Inc,Allegheny,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Global (Office Furniture); HON; Kimball Office; National Office Furniture,3/12/16,49810,,,,,,
C.M. Eichenlaub Co.,Allegheny,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,"Clarin by Hussey; Estey a Division of Tennsco Corporation; Jasper Chair Company; Leland International; Leonard Petterson & Co Inc; MooreCo, Inc. (Furniture & Equip); Shuttle Furniture; The Worden Company",5/21/16,49810,,,,,,
Caldwell Windoware Inc,Allegheny,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Caldwell's Windoware; Springs Window Fashions,3/29/16,49810,,,,,,
COE Distributing (JMJS Inc dba),,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,OFFICE SOURCE,7/13/16,,,,,,,
Colecraft Commercial Furnishings,,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Colecraft Commercial Furnishings,7/5/16,,,,,,,
"Community, a Jasper Group Brand (Jasper Seating Company, Inc. DBA)",,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,"COMMUNITY, Division of Jasper Seating Company, Inc.",1/13/16,,,,,,,
Corbett Inc.,,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,KI (Furniture); RT London,1/29/16,,,,,,,
"D3, Inc. d/b/a ""9 to 5 Seating""",,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,9 to 5 Seating,9/4/15,,,,,,,
Datum Filing Systems Inc,,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Datum Filing Systems,2/2/16,,,,,,,
"Educational Furniture Solutions, LLC",,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,"Computer Comforts, Inc.; Flash Furniture; Inwood Furniture Manufacturing, Inc.; Kwikboost; McCourt Manufacturing; MTS Seating; Officemaster; Powerflor USA, Inc.; Sauder; SMARTdesks; Southern Aluminum; Spec Seating; Surfaceworks; UMF",2/3/16,,,,,,,
"ErgoFlex Systems, Inc. d/b/a XYBIX Systems, Inc.",,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Xybix Systems Inc,8/30/15,,,,,,,
ESI Ergonomic Solutions,,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"ESI Equipment, Inc.",3/19/16,,,,,,,
"Great Openings (Metalworks, Inc. d/b/a)",,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Metalworks Inc,1/29/16,,,,,,,
