Company,County Located,Cleaning Supplies and Chemicals,Commercial and Industrial Floor Mats,Deodorizer/Odor Conteractant,Dilution Control Systems,Floor Care Machines,Floor Finisher and Remover (supplies and chemicals),Janitorial Paper Products,Specialized Floor Cleaning Equipment Rental,Trash Liners,Vacuums and Accessories (Excludes Central Vacuum Systems),Manufacturers,Expiration,CONTROLLER,ADDRESS1,ADDRESS2,E-MAIL ADDRESS,CONTACT,PHONE #,FAX #
A-Z Janitorial Services LLC,,Yes,No,No,No,Yes,No,Yes,No,No,No,Deb; Enviro-Solutions; Georgia-Pacific; Rubbermaid; Tennant Nobles; Windsor,4/23/16,48316,,,,,,
Allegheny Supply,,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,"Betco; Daley International; Enviro-Solutions; ETC of Henderson, Inc.; Spartan Chemical Company, Inc.; von Drehle Corporation; Wausau Paper; Windsor",6/28/16,48316,,,,,,
Amano Pioneer Eclipse,,Yes,No,No,No,Yes,Yes,No,No,No,No,Pioneer Eclipse (Floor Care-Sanitation),7/7/15,48316,,,,,,
Apter Industries,Allegheny,Yes,No,Yes,No,No,Yes,No,No,No,No,"Apter Industries, Inc.",8/21/15,48316,,,,,,
Bortek Industries Inc,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,"Bortek; Comac; Envirox, LLC; Pioneer Eclipse (Floor Care-Sanitation); Sanifil; Viper North America",9/27/15,48316,,,,,,
"Buckeye International, Inc.",,Yes,No,Yes,Yes,No,Yes,No,No,No,No,"Buckeye International, Inc.",2/4/16,48316,,,,,,
Clarkson Chemical Co Inc,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Airx Laboratories; Bullen; DEMA Engineering Company; HOST; Kimberly-Clark; Multi-Clean; Nobles Equipment by Tennant Company; ProTeam; Spring Grove; Tennant Company; The Andersen Company (Mats),5/6/16,48316,,,,,,
Clearfield Wholesale Paper Co.,,Yes,No,Yes,Yet,No,Yes,Yes,No,No,No,ALUF Plastics; Cargill; Cascades Tissue Group; Clarke; Georgia-Pacific; Hillyard; Misco Products Corp.; ProTeam; Rubbermaid; The Andersen Company (Mats),2/11/16,48316,,,,,,
Direct Service ,Allegheny,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Eagle Solutions; Misco Products Corp.; Pioneer Eclipse (Floor CareSanitation),1/28/16,48316,,,,,,
"Envirox, LLC",,Yes,No,No,Yes,No,No,No,No,No,No,"Envirox, LLC",4/21/16,48316,,,,,,
Erie Cotton Products Inc,,Yes,No,Yes,No,No,No,Yes,No,Yes,No,ACA; AMMEX Corporation; Erie Cotton Products Inc; Kimberly-Clark; Lysol; North American Plastics; Sprayway Inc; Woodbine Products,5/18/16,48316,,,,,,
Erzen Associates,Allegheny,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"Dial Henkle Group; Envirox, LLC; Essential Industries; Filmop; IDP Floor Care; Inspired Tec LLC; Kaivac, Inc.; NaceCare Solutions; Nittany Paper Mills, Inc.; Superior Mfg Group Inc; Tecony Clean Max Vacuum; Von Drehle Paper Products",3/26/16,48316,,,,,,
Fagan Sanitary Supply (Fagan Inc.),Allegheny,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,BayWest Paper/Dispensers; Hillyard; Karcher Floor Care; ProTeam; The Andersen Company (Mats); Unger; Wausau Paper,10/14/15,48316,,,,,,
General Products & Supply,Westmoreland,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,,2/4/16,48316,,,,,,
Griffin Maintenance Supply,Westmoreland,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,,9/27/15,48316,,,,,,
"Hillyard, Inc",,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,"3M; Advance Floor Cleaning Equipment (Nilfisk-Advance); Aztec Products; Berry Plastics; Claire; Hawk Enterprises, Inc.; Hillyard; HOST; Impact Products; Kimberly-Clark; Kruger; Nilfisk; ProTeam; Rubbermaid; Square Scrub; Tennant Company; Wausau Paper; Windsor",1/12/16,48316,,,,,,
Janitors Supply Company,,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,"3M; Advance Floor Cleaning Equipment (Nilfisk-Advance); Airx Laboratories; Amgo; BayWest Paper/Dispensers; Bona US; CFR (A Tacony Company); Clarke; Dial Corp.; Fresh Products; Hospital Specialty (HOSPECO); Impact Products; Inopak; Kimberly-Clark; Nittany Paper Mills, Inc.; North River Paper; Pioneer Eclipse (Floor Care-Sanitation); Powr-Flite (A Tacony Company); Pro-Link; S.C. Johnson; Scotwood Industries; Spartan Chemical Company, Inc.; Square Scrub; Technical Concepts; Tennant Company; Viper North America",1/14/16,48316,,,,,,
"Kinzua Environmental, Inc.",,Yes,No,Yes,Yes,No,Yes,No,No,No,No,"Kinzua Environmental, INC.",1/8/16,48316,,,,,,
L.M. Colker Company,Allegheny,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Champion (Janitorial); GeorgiaPacific; Kruger; Misco Products Corp.; Rubbermaid; von Drehle Corporation,4/29/15,48316,,,,,,
"LJC Distributors, Inc. d/b/a Janitorial Supply House",,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Apache Mills; Carlisle FoodService Products; Comac; Fresh Products; Fuller Brush Company; Impact Products; Koblenz; Kutol; Motor Scrubber; The Andersen Company (Mats),3/11/16,48316,,,,,,
McManus Merchants of Morgantown,Westmoreland,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,"Applied Creativity, Inc.; Betco; Modern Sales; von Drehle Corporation",1/14/16,48316,,,,,,
MON-D-AID & CLEANING CO,Butler,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,"AJM Packaging Corporation; Akro Mats; Amrep, Inc.; Ansell (includes Ansell Edmont/Ansell Healthcare); APC Filtration, Inc.; Armor All/STP Products Company; Atlas Paper Mills LLC; BayWest Paper/Dispensers; Big D Industries, Inc.; Boardwalk; Bobrick Washroom Equipment, Inc.; Bullen; Canberra Corporation; Carlisle FoodService Products; Chase Products; Chicopee; Church & Dwight Co., Inc.; Clarke; Clean Control; Clorox; Colgate Palmolive Company; Continental Commercial Products; Crown Mats; Deb (Deb Group Ltd/Deb SBS); Dial Corp.; Diversey, Inc. (formerly JohnsonDiversey); Ecolab; Eureka; Fort James Corporation; Franklin Cleaning Technology; Galaxy Gloves; Geerpres; General Paper; Georgia-Pacific; GMT-Global Material Technologies; GOJO Industries, Inc.; Heritage Bag Company; Hoffmaster; Homax; Hoover Company; Impact Products; Inteplast Group; ITW Dymon; Jaguar Plastics; KIK Custom Products; Kimberly-Clark; Koala Kare; Krystal Deodorant and Restroom Products; Ludlow; Marcal Paper; Mercury Floor Machines; etro Paper; Moltan Co.; Morcon Paper Products; Murphy's Oil; North American Salt Co.; Phoenix Brands; Pitt Plastics; Powr-Flite (A Tacony Company); Premiere Pads; Proline; PullmanHolt; Reckitt Benckiser; Rochester Midland Corporation; RootLowell Manufacturing Co. (Sprayers); Rubbermaid; San Jamar; SCA Tissue North America LLC; The Andersen Company (Mats); United Stationers; VVF Amenities; Wepak",3/7/16,48316,,,,,,
"National Chemical Laboratories of Pennsylvania, Inc.",,Yes,No,Yes,Yes,No,Yes,No,No,No,No,"NCL-National Chemical Laboratories, Inc.",2/28/16,48316,,,,,,
Nittany Paper Mills Inc,,No,No,No,No,No,No,Yes,No,No,No,"Nittany Paper Mills, Inc.",3/17/16,48316,,,,,,
Paper Products,Allegheny,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,"3M; Berry Plastics; Canberra Corporation; Dart Container; Diversey, Inc. (formerly JohnsonDiversey); Ecolab; Fresh Products; KimberlyClark; ProTeam",12/3/15,48316,,,,,,
PESTCO Professional Services,Allegheny,Yes,No,Yes,No,No,No,Yes,No,No,No,Air-Scent International; Surco Products,2/28/16,48316,,,,,,
Pitt Chemical & Sanitary Supply,Allegheny,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,"Algonquin Products; BayWest Paper/Dispensers; Diversey, Inc. (formerly JohnsonDiversey); Nobles Equipment by Tennant Company; Spartan Chemical Company, Inc.; Stoko Hand Care",1/9/16,48316,,,,,,
