Company,County Located,Application Software,Educational Software,Firewall and Security Software,Imaging Software,Network Software,Volume Licensing of Software Products,Manufacturers,Expiration,CONTROLLER,ADDRESS1,ADDRESS2,E-MAIL ADDRESS,CONTACT,PHONE #,FAX #,,
"AEC Group, Inc. ",Allegheny,Yes,Yes,Yes,Yes,Yes,Yes,Cisco Systems,4/6/16,49079,,,,,,,,
"Applied Voice & Speech Technologies, Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,AVST,10/17/15,49079,,,,,,,,
"Arraya Solutions, Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,"Cisco Systems; EMC Corporation (IT Hardware, Storage, Software); VMWare; What's Up Gold",11/15/15,49079,,,,,,,,
"Automated Card Systems, Inc.",Allegheny,Yes,No,No,Yes,No,No,Datacard Group,4/27/15,49079,,,,,,,,
"Black Consulting Services, Inc.",,Yes,Yes,No,No,Yes,Yes,"Black Consulting Services, Inc.; Continuum; TCC; Zultys",9/24/15,49079,,,,,,,,
"Cambridge Computer Services, Inc",,Yes,Yes,Yes,Yes,Yes,Yes,VMWare,7/23/16,49079,,,,,,,,
"Cartegraph Systems, Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,"Cartegraph Systems, Inc.",12/13/15,49079,,,,,,,,
CDW LLC.,,Yes,Yes,Yes,Yes,Yes,Yes,BetisGroup; Ingram Micro-Line Card,11/30/15,49079,,,,,,,,
Comm Solutions Company,,Yes,Yes,Yes,Yes,Yes,Yes,Bit9; Gigamon; Ingram Micro-Line Card; Tech Data Corporation-Vendor Line Card,10/20/15,49079,,,,,,,,
Computing Systems Innovations,,Yes,No,No,No,No,Yes,Computing Systems Innovations,2/15/16,49079,,,,,,,,
"Cross IT Services & solutions, LLC",,Yes,No,Yes,No,Yes,No,"Equinox; Quest; Roxio; Trend Micro; VeriSign, Inc.; VMWare",8/22/15,49079,,,,,,,,
"D&E Networks, Inc.",,Yes,No,Yes,No,Yes,No,Cisco Systems; Computer Associates; Microsoft Corporation; Symantec,11/30/15,49079,,,,,,,,
"Dallas Data Systems, Inc. d/b/a Dallas Data Systems & Programming",,Yes,No,No,No,No,No,"Caselle, Inc.; Dallas Data Systems, Inc.",4/6/16,49079,,,,,,,,
"Data Networks of America, Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,"EMC Corporation (IT Hardware, Storage, Software); Juniper Networks (US), Inc.; Lightspeed Systems; Messaging Architects; Microsoft Corporation; Novell; Vizioncore; VMWare",1/7/16,49079,,,,,,,,
"Data Recovery Services, LLC",,Yes,Yes,Yes,No,Yes,Yes,Cisco Systems; Citrix; Extreme Networks; Veeam Software; VMWare,4/21/16,49079,,,,,,,,
Dell Marketing LP,,Yes,Yes,Yes,Yes,Yes,Yes,"1E; Absolute Software Corporation; Adobe; Altiris; Autodesk; BEEM; Citrix; CommVault; Corel; Dell; EMC Corporation (IT Hardware, Storage, Software); FileMaker; McAfee; Microsoft Corporation; Mimosa Systems; Nero; Novell; Red Hat Corp.; ScanSoft; Symantec; VMWare; Yosemite",1/7/16,49079,,,,,,,,
"Delta Development Group, Inc.",,Yes,No,No,No,No,No,"Delta Development Group, Inc. (Software)",12/22/15,49079,,,,,,,,
"Digital Information Services, LLC d/b/a Comouter Intelligence Association",,Yes,Yes,Yes,Yes,Yes,Yes,Corel; IBM; McAfee; Micro Focus; Novell; Symantec; Trend Micro; Veeam Software; VMWare; Websense; Webtrends,4/13/16,49079,,,,,,,,
"eDocs Technologies, LLC",Beaver,Yes,Yes,Yes,Yes,Yes,Yes,"C&A Software; MiCorporation, Mi-Co Mobile Software; Northwoods Compass Software; Nuance Dragon; OnBase by Hyland (Hyland Software, Inc.); Permit Portal",12/5/15,49079,,,,,,,,
"Edwards Business Systems, Inc.",,No,No,No,Yes,No,No,Konica Minolta; PrintAudit; Square 9,1/9/16,49079,,,,,,,,
"En-Net Services, LLC",,Yes,Yes,Yes,Yes,Yes,Yes,Absolute Software Corporation; Adobe; B&B Smartworks; Black Box Software; Brocade; Checkpoint Technologies; Cisco Systems; Citrix; Fujitsu; Hewlett-Packard (HP); Kodak (not cameras); Lenovo; Lumension; McCafee; NetIQ; Novell; Nutanix; Red Hat Corp.; Sophos; Symantec; Trend Micro; Veeam Software; VMWare; Webtrends; Zebra Technologies,6/9/16,49079,,,,,,,,
"ePlus Technology, inc. dba ePlus Technology",,Yes,No,Yes,Yes,Yes,Yes,"Adobe; Apptio; Arrow Electronics, Inc.; Blue Coat Systems, Inc.; Cisco Systems; Citrix; CommVault; EMC Corporation (IT Hardware, Storage, Software); Hewlett-Packard (HP); Ingram Micro-Line Card; McAfee; Microsoft Corporation; NetApp; Novell; Proofpoint; Q1 Labs, Inc.; Quest; Safenet, Inc.; Symantec; Synnex Corporation-Line Card; Tech Data Corporation-Vendor Line Card; Trend Micro; Varonis; VMWare",5/9/16,49079,,,,,,,,
"Essex Technology Group, Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,IBM,9/13/15,49079,,,,,,,,
"Extract Systems, LLC",,Yes,Yes,Yes,Yes,Yes,Yes,Extract Systems,6/6/16,49079,,,,,,,,
"Ford Business Machines, Inc.",,Yes,Yes,No,Yes,No,Yes,"DocuClass; Kofax Software; OnBase by Hyland (Hyland Software, Inc.)",6/5/16,49079,,,,,,,,
Freedom Systems Corp.,,Yes,Yes,Yes,Yes,Yes,Yes,Acronis; Adobe; Cisco Systems; Citrix; Freedom Systems Corp.; Hewlett-Packard (HP); McAfee; Microsoft Corporation; ScanSoft; Symantec,3/14/16,49079,,,,,,,,
"Full Circle Solutions Group, LLC",,Yes,Yes,Yes,Yes,Yes,Yes,Full Circle Solutions; Laserfiche; SmartSearch,9/21/15,49079,,,,,,,,
"Gannett Fleming, Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,"Gannett Fleming, Inc.",1/20/16,49079,,,,,,,,
"General Code, LLC",,Yes,No,Yes,Yes,No,No,"Cities Digital, Inc.; CompuLink; Formatta - Access; General Code; Novus Solutions; Software Consulting Associates; United Micro Data, Inc.",12/13/15,49079,,,,,,,,
"Global Data Consultants, LLC d/b/a LAM Systems",,Yes,Yes,Yes,Yes,Yes,Yes,Absolute Software Corporation; Microsoft Corporation; VMWare,3/4/16,49079,,,,,,,,
"GovConnection, Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,"ACTi Corporation; Adobe; Autodesk; Business Objects- Div. of SAP (Software); CA Technologies; Checkpoint Technologies; Citrix; Core; Corel; Creative Labs; DataViz; Diskeeper; Embarcardero; EMC Insignia; Enfocus; Extensis; FileMaker; Frontrange Solutions; IBM Software; Intel; Intuit; Kaspersky; Legato; McAfee; Microsoft Corporation; Novell; Nuance; Pantone; Quark; Red Hat Corp.; Roxio; RSA (Div. of EMC Corp.); Sage Products, Inc.; Smith Micro; Symantec; Trend Micro; Virtual Iron; Visioncore; Watchguard; Websense",3/15/16,49079,,,,,,,,
"Horizon Information systems, Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,Data Access Corporation (Visual DataFlex/Dynamic AI); Horizon Information Systems; Microsoft Corporation,12/30/15,49079,,,,,,,,
"Hyland Software, Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,"OnBase by Hyland (Hyland Software, Inc.)",5/20/16,49079,,,,,,,,
IMR Limited,,Yes,No,No,Yes,No,Yes,"AnyDoc Software; Artsyl; DocuWare; Justice Systems, Inc.; OnBase by Hyland (Hyland Software, Inc.)",12/13/15,49079,,,,,,,,
"In-Synch Systems, LLC",Butler,Yes,Yes,Yes,Yes,Yes,Yes,"In-Synch Systems, LLC",4/12/16,49079,,,,,,,,
"IntegraONE (Integra Business Center, Inc. DBA)",,Yes,No,Yes,No,Yes,No,"Barracuda Networks; Blue Coat Systems, Inc.; Bradford Networks; Citrix; ESET; Exinda; FireEye, Inc. (IT Hardware); Kaspersky; Lightspeed Systems; Microsoft Corporation; Singlewire Software; Symantec; Trend Micro; VMWare",12/14/15,49079,,,,,,,,
"Island Tech Services, LLC",,Yes,Yes,Yes,Yes,Yes,Yes,NET MOTION WIRELESS; Panda Security,3/14/16,49079,,,,,,,,
"KVS Information Systems, Inc.",,Yes,No,No,No,No,Yes,"AP Technology; Cyberscience; KVS Information Systems, Inc.; Micro Focus; Microsoft SQL Server; Oracle; Springbrook Software",12/13/15,49079,,,,,,,,
"Logical front, LLC",,Yes,Yes,Yes,Yes,Yet,Yes,Citrix; Dell; Microsoft Corporation; VMWare,5/5/16,49079,,,,,,,,
"Lucity, Inc. ",,Yes,Yes,Yes,Yes,Yes,Yes,"Lucity, Inc.",4/3/16,49079,,,,,,,,
"MTM Technologies, Inc.",,Yes,No,Yes,No,Yes,Yes,Cisco Systems; Citrix,1/22/16,49079,,,,,,,,
"Municipal Software, Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,"Municipal Software, Inc.",5/21/16,49079,,,,,,,,
"NextStep Technology (DSD Associates, Inc. DBA)",,Yes,Yes,Yes,Yes,Yes,Yes,"Sage Products, Inc.",5/9/16,49079,,,,,,,,
"NextStep Technology Advisors, LLC",,Yes,No,No,No,Yes,Yes,"Accounting Systems, Inc.; Advanced Computer Solutions Group (ACSG); BizNet; Citrix; Continuum; Employee Based Systems (EBS); Microsoft Corporation; Synergistic Software Solutions; xkzero; Zenith Infotech",5/8/16,49079,,,,,,,,
"Plan  B Technologies, Inc.",,No,No,No,No,Yes,Yes,CommVault,5/13/16,49079,,,,,,,,
"Presidio Networked Solutions, Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,"Cisco Systems; EMC Corporation (IT Hardware, Storage, Software); Hewlett-Packard (HP); VMWare",3/19/16,49079,,,,,,,,
"Prime Communications, Inc.",Allegheny,Yes,No,No,No,Yes,Yes,Citrix; Liquidware Labs; Mitel; Veeam Software; VMWare,2/5/16,49079,,,,,,,,NO FILE
"RBA Professional Data Systems, Inc.",,Yes,No,No,No,No,No,"RBA Professional Data Systems, Inc.",10/15/15,49079,,,,,,,,
"Reynolds Business Systems, Inc",,Yes,Yes,Yes,Yes,Yes,Yes,"EMC Corporation (IT Hardware, Storage, Software); Kodak; Kofax Software; Marex Group, Inc.",12/22/15,49079,,,,,,,,
"SBM Electronics, Inc.",Allegheny,Yes,Yes,Yes,Yes,Yes,Yes,For The Record (FTR),7/27/15,49079,,,,,,,,WRONG FILE
SHI International Corp.,,Yes,No,Yes,Yes,No,Yes,Adobe; Attachmate; CA Technologies; Citrix; CommVault; Corel; IBM; Kaspersky; McAfee; Microsoft Corporation; NetIQ; Novell; Nuance; Open Text; Quest; RSA (Div. of EMC Corp.); Sophos; Symantec; Tenable; Trend Micro; VMWare; Websense,10/17/15,49079,,,,,,,,
"Softmart Government Services, Inc. dba Softmart",,Yes,Yes,Yes,Yes,Yes,Yes,Absolute Software Corporation; Adobe; Attachmate; Autodesk; Borland; Business Objects- Div. of SAP (Software); Computer Associates; Corel; FileMaker; IBM; Kaspersky; McAfee; Microsoft Corporation; Novell; Oracle; Quark; ScanSoft; Sophos; Symantec; Tech Data Corporation-Vendor Line Card; Trend Micro; VMWare; Yosemite,3/14/16,49079,,,,,,,,
"Software Systems, Inc.",Butler,Yes,No,No,No,No,No,"Software Systems, Inc.",6/18/15,49079,,,,,,,,
Summit Technology Consulting Group LLC,,Yes,Yes,Yes,Yes,Yes,Yes,"Absolute Software Corporation; ADTRAN, Inc.; Aruba Networks, Inc.; Attachmate; Autodesk; Avocent; Axis Communications; Bosch Security Systems; Checkpoint Technologies; Cisco Systems; ClearOne; Contex; Corel; DLink; eCAS (Veramark); F5 Networks; Fluke Networks; Hewlett-Packard (HP); Honeywell; IBM; Imation; Juniper Networks (US), Inc.; Kaspersky; Kodak; Kofax Software; LANDesk; Lenovo; Liebert; Microsoft Corporation; Milestone Systems; NetGear; Novell; Oki Data; Overland Storage; Panasonic; Qlogic; Quantum (Storage, Archive and Data protection); RARITAN; SanDisk; SAP; Schneider Electric; Sharp Electronics Corporation; SonicWALL; Sony; Sophos; Symantec; Trend Micro; VMWare; Watchguard; Wyse; Xerox; Zebra Technologies",1/17/16,49079,,,,,,,,
"Sunrise Electronic Distributing Company DBA Sunrise Computers, digitalSunrise",,Yes,Yes,Yes,Yes,Yes,Yes,"3Com; Adobe; Apple; Citrix; Computer Associates; D&H Distributing Co., Inc.; FileMaker; Hewlett-Packard (HP); Ingram Micro-Line Card; Ipswitch, Inc.; McAfee; Microsoft Corporation; Novell; Quark; SonicWALL; Synnex Corporation-Line Card; Tech Data Corporation-Vendor Line Card; Trend Micro",12/9/15,49079,,,,,,,,
synergIT Incorporated,Allegheny,Yes,Yes,Yes,No,Yes,Yes,Absolute Software Corporation; Cisco Systems; Citrix; Google; Solar Winds; StorMagic; Veeam Software; VMWare; Zix Corporation,9/13/15,49079,,,,,,,,
"Worldgate, LLC",,Yes,Yes,Yes,Yes,Yes,Yes,Worldgate,7/13/16,49079,,,,,,,,
