Company,County Located,Ammunition,Breathing Systems,Cleaning Equipment & Supplies,Communications Equipment,Emergency Medical Equipment & Supplies,"Emergency Warning Lights, Lightbars & Sirens","Fire Hose, Nozzles, Appliances, Adapters & Accessories",Fire Suppression Equipment & Supplies,"Firefighting & Rescue Equipment, Tools & Supplies",Generators and Lighting,Law Enforcement Equipment & Supplies,Miscellaneous- Loose Supplies,Personal Protective Equipment,Public Safety Equipment & Supplies,Manufacturers,Expiration,CONTROLLER,ADDRESS1,ADDRESS2,E-MAIL ADDRESS,CONTACT,PHONE #,FAX #
"3 Rivers Fire Equipment (T.J. II, Inc. d/b/a)",Allegheny,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,"Akron Brass Co.; Angus Fire; Avon Protection; Bauer Compressors; Cutters Edge Industries, Inc.; Firecraft Safety; FoxFury Lighting Solutions; Globe Holding Company, LLC; Groves, Inc.- Ready Rack; HAIX; Hale Products, Inc. (A Unit of IDEX Corp.); ISG/INFRASYS; Ketterer's Rescue Products; Kidde (Brand/Division of United Technologies Corp.); KOCHEK CO., INC.; Lakeland Industries, Inc.; Mercedes Textiles Limited; Paratech, Inc.; SENSIT Technologies; Sperian Protection; Survivair; Tele-Lite; Tempest Technologies; Thunderstorm Foam; VizCon, LLC; Williams Fire & Hazard Control",2/3/16,48363,,,,,,
"Abe Bernstein Clothing, Inc. ",Allegheny,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Atlanco; Bates; Carhartt; Hatch Corporation; Horace Small; Raine; Red Kap; Red Wing; Smith & Wesson; WOLVERINE,3/11/16,48363,,,,,,
CreateSafety,Allegheny,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,"Cardiac Science Corporation; Defibtech, LLC; Heartsine Samaritan AED; Laerdal; Philips Heartstart Defibrillator (AED); Physio-Control, Inc.; Prestan Products; ZOLL Medical Corporation",9/16/15,48363,,,,,,
"Hensler Communication Consultants, LP d/b/a HC Global",Westmoreland,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,"Federal Signal; Havis, Inc.; Hytera; Kenwood; Laguna 3P; Power Products; RAM Mounting Systems; Roscoe Medical; Setina Manufacturing; Sound Off Signal",3/31/16,48363,,,,,,
"Ibis Tek, LLC",Butler,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,"Federal Signal; Gamber-Johnson; Havis, Inc.; HG2 Emergency Lighting; HiNT Peripherals; Ibis Tek, LLC; Jotto Desk-Jotto Public Safety (GoJotto); Odyssey Automotive Specialty, Inc.; Progard Products, LLC; SoundOff Signal; Troy; TruckVault; Tuffy Security Products; Tufloc; Whelen Engineering Company, Inc.",1/18/16,48363,,,,,,
"Kair, Inc.",Butler,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,"e2v-Argus Thermal Imaging; Interspiro, Inc.",11/13/15,48363,,,,,,
"Keystone Fire Apparatus, Inc.",Allegheny,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,"Akron Brass Co.; Aluminum Ladder Company; Bauer Compressors; Command Light; Duo-Safety Ladder Corp.; Elkhart Brass Co.; Fire Hooks Unlimited; Harrington, Inc.; Hotstick; Innotex, Inc.; ISI (International Safety Instruments); KOCHEK CO., INC.; Niedner; StreamLight; Super Vac (Super Vacuum Mfg., Inc.); Task Force Tips; TeleLite; Tempest Technologies; Weldon (Div. of Akron Brass)",10/21/15,48363,,,,,,
"Markl Supply Co., Inc.",Allegheny,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,"5.11 Tactical; Aimpoint; ASP, Inc.; Atlanco; Blackhawk Products Group; Blackinton (V.H. Blackinton & Co., Inc.); Condor Outdoor Products; CTS-Combined Tactical Systems; DefTec; DeSantis Gunhide; Diamondback Tactical, LLC; EOTech; First Choice Armor; Fobus USA; Garrett; Gould & Goodrich, Inc.-G&G Holsters; Hatch Corporation; KDH Defense Systems, Inc.; Monadnock Lifetime Products; Peerless Handcuff Company; Pro-gard Products, LLC; PROTECH Tactical (Body Armor); Revision; Safariland, LLC; Second Chance; Setina Manufacturing; Smith & Warren; Speer Ammo; StreamLight; Surefire; Survival Armor; Tru-Spec",12/7/15,48363,,,,,,
Mine Safety Appliances Company (MSA),Allegheny,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No,MSA-Mine Safety Appliances,8/2/15,48363,,,,,,
Palco Sales Corp,Westmoreland,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Honda Power Equipment; Kohler Power Systems,4/21/16,48363,,,,,,
