Company,County Located,Bleacher Seating,Fitness Equipment,In-line Hockey Rinks/Skateboard Park Components (for existing rinks/parks only),"Modular Gym Flooring, Sports Mats",Playground Equipment,Playground Safety Surfacing Material,Portable or Replacement Scoreboards & Electronic Timers,Pre-fabricated Shelters,Site Amenities,Sports Equipment,Storage Sheds & Lockers,Water Equipment,Manufacturers,Expiration,CONTROLLER,ADDRESS1,ADDRESS2,E-MAIL ADDRESS,CONTACT,PHONE #,FAX #
"B&R Pools and Swim Shop (Dream Pools and Spas, Inc. DBA)",Allegheny,No,No,No,No,No,No,No,No,No,Yes,No,Yes,"Aqua Products, Inc.; Chemtrol; Competitor; Dolfin Swimwear; Duraflex International; FINIS; Hanovia UV Systems; Hayward Pool Products; Mermade Filter; NZ Manufacturing; Richey Industries, Inc.; S.R. Smith; Santa Barbara Control Systems; Spectrum Aquatic Lifts; Speedo; TYR; Water Tech",10/21/15,48359,,,,,,
C.M. Eichenlaub Co.,Allegheny,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,"Debourgh Manufacturing Co.; Hussey Seating Company; JayPro Sports Equipment; Nevco Scoreboard Company; Performance Sports Systems (PSS); ProMats Athletics; Scranton Products (Washroom Partitions, Lockers, Vanities)",2/3/16,48359,,,,,,
Design Systems,Allegheny,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,"Blue Valley Industries, Inc.; Child Works; Childforms; First Team Sports; Gared Sports; GF Play; Kids Tale; Penco Products, Inc.; Pierceton Rubber Products; Play On Surfacing; PlayLand International Inc.; Qitele Playworld; Scenery Solutions; Sii Structures; Skyspan; SportsPlay; Superior Shade; Terrasoft; Unity Surfacing; Webcoat, Inc.; Zeager Brothers",5/13/15,48359,,,,,,
"Institutional Specialties, Inc.",Allegheny,No,No,No,No,No,No,Yes,No,No,No,No,No,"Daktronics, Inc.",3/16/16,48359,,,,,,
Keystone Ridge Designs Inc.,Butler,No,No,No,No,No,No,No,No,Yes,No,No,No,"Keystone Ridge Designs, Inc.",2/8/16,48359,,,,,,
Knight Athletics Inc,Allegheny,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Haro Sports Flooring; Hufcor; Spalding; Track Seating,3/11/16,48359,,,,,,
"PEMCo (P&E Educational Furniture and Equipment, Inc. DBA)",Allegheny,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,"Draper, Inc.; Southern Bleacher Company; UltraPlay, Inc. (a PlayCore Company)",5/16/15,48359,,,,,,
Pete Jeffrey & Associates,Allegheny,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,"Advanced Polymer Technologies (APT); AK Athletic Equipment, Inc.; Blue Valley Industries, Inc.; Cre8Play; Dynamo Industries; EZ-Dock; ICON Shelter Systems, Inc.; JayPro Sports Equipment; Playworld Systems, Inc.; RigidPly Rafters, Inc.; RTH Processing; Shade Systems, Inc.; Sparton Enterprises; SportsPlay; Vitriturf; Zeager Brothers",2/8/16,48359,,,,,,
Playground Concepts of Western Pennsylvania,Allegheny,No,No,No,No,No,No,No,No,Yes,No,No,No,"Urbanscape; Wabash Valley Manufacturing, Inc.",4/21/16,48359,,,,,,
S&S Inc,Allegheny,No,No,No,Yes,No,No,No,No,No,No,No,No,"Advanced Polymer Technologies (APT); Moose Sports Surfaces; PoloPlaz; Robbins, Inc.; Sika Corporation",12/22/15,48359,,,,,,
Sports and Recreation Associates,Armstrong,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Aquatic Recreation Co.; Avalanche; Coverworx; Dugout USA; Kay Park Recreation; Litchfield Landscape Elements (Litchfield Industries); Miracle Recreation Equipment Co.; SportsPlay,3/15/16,48359,,,,,,
Sports Floors Inc.,Beaver,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,"Action Floor Systems; Bona Kemi; Junckers Industrier A/S; Mancino Manufacturing Co.; NASF/Traction; PoloPlaz; Sheridan Seating, Inc.",10/21/15,48359,,,,,,
"Visual Information Systems, Inc./VIS Signs",Allegheny,No,No,No,No,No,No,Yes,No,No,No,No,No,"Hyoco; OES Scoreboard, Inc.",3/16/16,48359,,,,,,
"Webster's Fitness Products, Inc.",Washington,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Magnum Fitness Systems; Matrix Fitness; Pinnacle Fitness Systems Inc.; Polar Electric; Sci Fit Systems Inc.; SportsArt America Inc.,2/3/16,48359,,,,,,
