Company,County Located,Balers,Commercial and Industrial Waste Compactors,Composters,Dumpsters,Material Handling Units,Shredders,Trash/Recycling Containers - Indoor,Trash/Recycling Containers - Outdoor,Manufacturers,Expiration,CONTROLLER,ADDRESS1,ADDRESS2,E-MAIL ADDRESS,CONTACT,PHONE #,FAX #
"Advanced Equipment Sales, Inc. (Advanced Design & Control Corp. DBA)",,Yes,Yes,No,No,Yes,Yes,No,Yes,"Ameri-Shred; Bace; Balemaster; Cresswood; EnduraVeyor; J.V. Manufacturing, Inc.; Marathon Equipment Company",7/5/15,49074,,,,,,
Al-Jon Manufacturing LLC,,No,No,No,No,Yes,No,No,No,Al-Jon Manufacturing LLC,2/13/16,49074,,,,,,
BE Equipment Inc,,Yes,No,No,No,Yes,No,No,No,Bace; Bayne Thinline; International Baler Corporation; Prodeva,7/23/15,49074,,,,,,
"Busch Systems International, Inc.",,No,No,Yes,No,No,No,Yes,Yes,Busch Systems (Recycling Containers),7/19/15,49074,,,,,,
Eagle Equipment Corporation,,Yes,No,No,Yes,Yes,Yes,No,Yes,"KG Equipment; Komar; Marathon Equipment Company; Nexgen; Otto Environmental Systems; Valley Can; Valley Enterprise Container, Inc.; Wastequip",2/10/16,49074,,,,,,
"Eagle Truck Equipment, Inc.",,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"Fassi; J.V. Manufacturing, Inc.; K-PAC; Kinshofer North America; Mobile Awareness LLC; Navigator; Otto Environmental Systems; Parkhurst Manufacturing Co., Inc.; Paulsonbilt; Scarab Manufacturing & Leasing; Swampy Hollow Manufacturing; Thompson Fabricating; Valley Enterprise Container, Inc.; Wastequip",3/29/16,49074,,,,,,
Kettle Creek Corporation d/b/a Windsor Barrel Works,,No,No,No,No,No,No,Yes,Yes,Windsor Barrel Works (Kettle Creek Corporation),3/31/16,49074,,,,,,
"Mid Atlantic Waste Systems (THC Enterprises, Inc. t/a)",,Yes,No,No,Yes,Yes,Yes,Yes,Yes,"Allegheny Shredders; Bucks; Par-Kan Company; Philadelphia Tramrail; SSI SCHAEFER (Schaefer Systems International, Inc.); Valley Can",3/20/16,49074,,,,,,
Orbis Corp,,No,No,Yes,Yes,No,No,Yes,Yes,Orbis Corp.,3/14/16,49074,,,,,,
"Peter Pepper Products, Inc.",,No,No,No,No,No,No,Yes,Yes,Plastiglas Industries Ltd,8/15/15,49074,,,,,,
Recycling Equipment Corporation,,Yes,Yes,No,No,No,No,No,No,American Baler; Maxpak; PTR Baler and Compactor; RecycleTech Corp; Vecoplan; Waste Processing Equipment (MaxPak),6/24/15,49074,,,,,,
Rehrig Pacific Company,,No,No,No,Yes,No,No,Yes,Yes,Rehrig Pacific Company,7/31/15,49074,,,,,,
Schaefer Systems International Inc,,No,No,No,No,No,No,No,Yes,"SSI SCHAEFER (Schaefer Systems International, Inc.)",11/4/15,49074,,,,,,
T.M. Fitzgerald & Associates,,No,No,No,No,No,No,Yes,Yes,Otto Environmental Systems; Roto ALR; T.M. Fitzgerald & Associates,7/19/15,49074,,,,,,
"Toter, LLC",,No,No,No,No,No,No,No,Yes,Toter Incorporated,7/19/15,49074,,,,,,
