Company,County Located,Ambulatory Products,Apparel,Bath Safety,"Beds, Equipment & Accessories",Diagnostics,Dietary Supplements,Gloves,Incontinent Care,Infusion/IV Supplies,Medications (Over the Counter),Needles & Syringes,Ostomy & Urology,Respiratory Care,Wound Care,Manufacturers,Expiration,CONTROLLER,ADDRESS1,ADDRESS2,E-MAIL ADDRESS,CONTACT,PHONE #,FAX #
Bound Tree Medical LLC,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"3M; A Plus International, Inc.; AAA Packaging Materials; Abbott Laboratories; Acme United Corporation; ADC-American Diagnostic Corporation; ADI Medical, Inc.; Afassco; Airgas, Inc.; Alero, Inc.; Allied Healthcare Products, Inc.; Ambu, Inc.; AMMEX Corporation; Amsino International, Inc.; Andover Healthcare, Inc.; Anthony Welded Products; Aramsco; ARKRAY USA, Inc.; B. Braun Medical; Ballard Medical Products; Baxter Healthcare; Bay Corporation; Bayer HealthCare, LLC; BD (Becton, Dickinson and Company); Beaumont Products, Inc.; Bemis Manufacturing Company; BioMedical Devices; Biomedix Inc.; Briggs Healthcare; BSN Medical, Inc.; Busse Hospital Disposables; Cardinal Health; ConMedCorporation; Covidien; Digitcare; Emergent Respiratory Products; Hartwell Medical; Inovo, Inc.; International Medication Systems, Ltd. (IMS); Iron Duck; Laerdal; Microflex; Nasco; Nonin Medical; Phillips Health Care; Propak; Pyng Medical; Safety International; SAM Medical Products; Simulaids; SSCOR, Inc.; Stryker; Thomas Emergency Medical Solutions; TSG Associates; Welch Allyn, Inc.",10/8/15,50763,,,,,,
"Direct Sell Group, LLC",,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Brey-Krause Mfg.,6/30/15,50763,,,,,,
"First Choice Medical Supply, LLC",,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"3M; Amsino International, Inc.; ARKRAY USA, Inc.; Attends Healthcare Products; Central Solutions, Inc.; ConvaTec; Covidien; Derma Sciences, Inc.; DermaRite Industries, LLC; DUKAL Corporation; First Choice Medical Supply; First Quality Products, Inc.; GF Health Products, Inc. (Graham-Field); GOJO Industries, Inc.; H&H Labs; Kimberly-Clark; Links Medical Products, Inc.; Medical Action Industries, Inc.; Medtrition; Nestle HealthCare Nutrition, Inc.; Pharma Supply; Posey; PrimaGuard; Principle Business Enterprises, Inc.; Skil-Care Corporation; Span America Medical Systems, Inc.; TENA (SCA Hygiene Products, AB); Val Med, Inc.",6/4/15,50763,,,,,,
"Instrumentation Assoc., Inc.",,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Frye; Industrial Acoustics; MED Plus; Micro Audiometrics,5/30/15,50763,,,,,,
"McKesson Medical-Surgical Minnesota Suppy, Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"3M; Abbott Laboratories; ARKRAY USA, Inc.; Attends Healthcare Products; Bard Medical; BD (Becton, Dickinson and Company); ConvaTec; Covidien; First Quality Products, Inc.; McKesson; National Nutrition, Inc.; Nestle HealthCare Nutrition, Inc.; Principle Business Enterprises, Inc.; Retractable Technologies; Smith & Nephew, Inc.; Span America Medical Systems, Inc.; TENA (SCA Hygiene Products, AB)",1/10/16,50763,,,,,,
MedCare Equipment Company LLC,Westmoreland,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,"Abbott Nutrition; AirSep; Covidien; Drive Medical; First Quality Products, Inc.; Independence Medical; Invacare; Medline Industries, Inc.; Nestle HealthCare Nutrition, Inc.; Owens & Minor; Resmed; Respironics",4/30/16,50763,,,,,,
"Medical Supply, Inc.",,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,"Attends Healthcare Products; Medline Industries, Inc.; SCA Personal Care",6/21/15,50763,,,,,,
Medline Industries,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"1888 Mills LLC; 3M Health Care; Abbott Nutrition; Aesculap, Inc.; Allied Healthcare Products, Inc.; Allmed Industrial; Ambu, Inc.; American Safety Razor Company; Ammar Apparel; Amsino Medical Group; Andover Healthcare, Inc.; Aplicare, Inc.; Arista Latindo (Gloves); Aspen Surgical Products, Inc.; Attends Healthcare Products; Avery Dennison; B. Braun Medical; BD (Becton, Dickinson and Company); Beiersdorf Manufacturing; Bemis Manufacturing Company; Berkley; Brooklyn Products; Brulin; Busse Hospital Disposables; C.R. Bard, Inc.; Cardinal Health; CareFusion; Catheter Research, Inc.; Changshu Conod Medical; Chester Packaging LLC; Clorox; Colgate Palmolive Company; ConMed Corporation; ConvaTec; Cook Medical; Covidien; Degania Silicon, Inc.; Dial Corp.; DNU - Alamo Conversion; Dongguan Hong Wang Packaging; Ergodyne; First Quality Products, Inc.; Foshan Nanhai R Poon Medical; Gericare Pharmaceuticals; GlaxoSmithKline (GSK); Hartalega; Hartmann USA; Hubei Safeway Protective; Impact Products; Integra Pain Management; Integrity Medical Devices, Inc.; Johnson & Johnson; Karim's Textile & Apparel; KimberlyClark; Knight Tool Works, Inc.; Kutol; Liquid Crystal Resources; Manufacturera De Ropa Meridana; Mcube Technology Co., LTD; Medcrest Textiles; Medexco Supply Co.; Medline Industries, Inc.; Medovations, Inc.; Midwest Sterilization Corp.; Modern Medical Equipment Mfg., Ltd.; Molded Products, Inc.; Molnlycke Health Care; Mt. Sinai Hospital; National Nutrition, Inc.; Omara Products; OMI Industries, Inc.; Owen Mumford, Inc.; Pepper Medical; Principle Business Enterprises, Inc.; Providence Center; Respironics; Salter Labs; Shanghai Hua Yue Packaging; Siemens Healthcare; Smith & Nephew, Inc.; Smiths Medical; Stadco Polyproducts, Inc.; Starplex Scientific; Sterigenics US, LLC; Steris Corp.; Strukmyer LLC; Swiss American Products, Inc.; Teleflex Medical; Tidi Products, LLC; Trinity Sterile, Inc.; Tyco Healthcare/Kendall; Ultra Seal Corp.; Uno Medical; Ventlab Corp.; Welch Allyn, Inc.; Well Lead Medical Co., LTD; Whirley Industries, Inc.; Yuyao Tirrit Co., LTD; Zappa Tec, LLC; Zhejian Gongdong Medical",8/11/15,50763,,,,,,
School Health Corp,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Covidien; Dik Drug; DUKAL Corporation; Dynarex Corporation; GF Health Products, Inc. (Graham-Field); Hanna Pharmaceutical; Hartmann USA; Harvard Drug; Hausmann; Health O Meter; Laerdal; MABIS Healthcare, Inc.; Medique; Medline Industries, Inc.; Nonin Medical; Respironics; Seca; Sharps Compliance; Tidi Products, LLC; Welch Allyn, Inc.",5/31/15,50763,,,,,,
Specialty Medical Products,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"ADC-American Diagnostic Corporation; DeVilbiss Healthcare; Gendron, Inc.; GF Health Products, Inc. (Graham-Field); Golden Technologies; Healing Solutions, LLC; LPA Medical; Medela, Inc.; Meridian Medical; Multifab Innovations - Ultimate; Primus; Span America Medical Systems, Inc.; Sunflower Medical; Supracore, Inc.; Tender Care Products, Inc.; Total Body Orthotics Center, Inc.",9/21/15,50763,,,,,,
