Company,County Located,4x2 Utility Vehicles,Air Compressors & Generators (truck mounted),Alternate Fuel Conversions,Alternate Fuel Vehicles,Body Upfits,Bucket Trucks,Cab & Chassis,Cranes (truck mounted),Garbage Trucks,Hydraulic Systems (truck mounted),Liftgates,Lifts- Vehicle Mobile (which do not require construction),Liquid Winter Maintenance Systems (truck mounted),Pickup Trucks and Cargo Vans,Recycling Trucks,Salt/Sand Spreaders (truck mounted),Snowplows (truck mounted),Trailers,Vacuum Trucks/Street Sweepers,Manufacturers,Expiration,CONTROLLER,ADDRESS1,ADDRESS2,E-MAIL ADDRESS,CONTACT,PHONE #,FAX #
A&H Equipment Company,Allegheny,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,"American Roll-Off (Palfinger); Buyers Products Company; Cargill; Coastal Technical Sales, Inc.; Conley Fabrication LLP; Elgin Sweeper Company; Envirosight; Epoke; Falcon Road Maintenance Equipment; GSP Marketing, Inc./G-S Products; Harben, Inc.; Henderson Manufacturing; JerrDan; John Bean Sprayers; KANN Manufacturing Corporation; KEG Technologies, Inc.; Loadmaster, Inc. ; Loughberry Mfg. Corp.-TARCO; LyCox Enterprises; M-B Companies; Monroe Truck Equipment; Mustang Trailers; Oshkosh Corporation; Sewer Equipment Co. of America; Stahl (Truck Bodies); Supreme MidAtlantic Corp (Truck Bodies); Vactor; Vanguard Systems by Hydro Products, Inc.; VMAC (Vehicle Mounted Air Compressors); Wille North America",4/21/16,48557,,,,,,
Allegheny Ford Truck Sales,Allegheny,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Ford Motor Company,5/18/15,48557,,,,,,
"Baierl Chevrolet, Inc.",Allegheny,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,General Motors (Chevrolet-BuickGMC-Cadillac),9/10/15,48557,,,,,,
Baierl Ford,Butler,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,General Motors (Chevrolet-BuickGMC-Cadillac),9/10/15,48557,,,,,,
"Cleveland Brothers Equipment Co., Inc.",Westmoreland,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Ford Motor Company,9/6/15,48557,,,,,,
"Day Chevrolet, Inc. ",Allegheny,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,General Motors (Chevrolet-BuickGMC-Cadillac),6/28/15,48557,,,,,,
"Day Ford, Inc.",Allegheny,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Ford Motor Company,5/24/15,48557,,,,,,
"Fyda Freightliner Pittsburgh, Inc.",Washington,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Freightliner; Western Star Trucks,4/21/16,48557,,,,,,
"Golden Equipment Company, Inc.",Butler,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,"Aries; Dyna-Vac; GSP Marketing, Inc./G-S Products; Hi-Vac Corporation; Janiak; KANN Manufacturing Corporation; Spaulding Lighting; Stepp Manufacturing; Tymco; Wayne Engineering",4/21/16,48557,,,,,,
Hill International Trucks LLC,Washington,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,International Truck and Engine Corporation; Navistar Inc.,9/30/15,48557,,,,,,
Hunter Keystone Peterbilt LP,Butler,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Peterbilt Trucks,9/2/15,48557,,,,,,
"Hunter Truck Sales & Service, Inc",Butler,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,International Truck and Engine Corporation; Peterbilt Trucks,9/2/15,48557,,,,,,
"John Meegan Ford, Inc.",Westmoreland,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Ford Motor Company,4/22/15,48557,,,,,,
Kenny Ross Chevrolet Inc,Westmoreland,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,General Motors (Chevrolet-BuickGMC-Cadillac),3/10/16,48557,,,,,,
Kenny Ross Ford Inc,Westmoreland,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Ford Motor Company,3/10/16,48557,,,,,,
"PA Public Works Equip. Co., LLP",Allegheny,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,"Airport Technologies; American Roll-Off (Palfinger); Buyers Products Company; Coastal Technical Sales, Inc.; Conley Fabrication LLP; Elgin Sweeper Company; Envirosight; Epoke; Harben, Inc.; John Bean Sprayers; KEG Technologies, Inc.; Loadmaster, Inc. ; Loughberry Mfg. Corp.-TARCO; M-B Companies; Monroe Truck Equipment; Prototek; Vactor",6/23/15,48557,,,,,,
"Push-N-Pull, Inc.",Allegheny,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,"Anthony Liftgates, Inc.; Brute Tool Boxes; Buyers Products Company; Bwise Manufacturing; Fisher Engineering (Plows/Spreaders); Harper Industries, Inc. (DewEze Hydraulics); Industrial Metal Products, Inc.; Mustang Trailers; RC Trailers; SwitchN-Go Bodies; TrynEx International; Western Products (Snow Plows/Removal Equip)",3/19/16,48557,,,,,,
"Sabre Equipment, Inc.",Allegheny,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,"Adrian Steel; Air-Flo Manufacturing; Anthony Liftgates, Inc.; Astoria (Altec Astoria, LLC); Bonnell Industries, Inc.; Cormach Cranes; Crysteel; Keystone Spring Service; Leyman Lift Gates; Liftmoore, Inc.; Maxon Lift Corp.; Meyer Products; Monroe Truck Equipment; PSD-Point Spring & Driveshaft Co.; Ranger Design/Van Shelving; Service Trucks International; Supreme MidAtlantic Corp (Truck Bodies); The American Road Machinery Company; The Reading GroupTRG (AKA Reading Truck Body); Thieman Tailgates, Inc.; Tiger Cranes; Tommy Gate (Woodbine Mfg. Co.); TruckCraft; Utem; Vanair Manufacturing, Inc.; Waltco Truck Equipment Co.; Warren; Western Products (Snow Plows/Removal Equip)",4/21/16,48557,,,,,,
"Salandro Equipment Sales, Inc.",Westmoreland,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,"Scranton Mfg. Co., Inc.",7/28/15,48557,,,,,,
Shults Ford Lincoln Inc.,Allegheny,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Ford Motor Company,4/21/16,48557,,,,,,
Smail Compnay Inc.,Westmoreland,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Ford Motor Company; General Motors (ChevroletBuick-GMCCadillac),3/27/16,48557,,,,,,
Steel City Mower and Plow,Allegheny,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Air-Flo Manufacturing; Boss Industries (Compressors); Buyers Products Company,9/24/15,48557,,,,,,
Tri-County Truck Center,Armstrong,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,Mack Trucks; Volvo Trucks,3/15/16,48557,,,,,,
