Company,"County Served",Desktop PCs and Monitors,Items to Support Multimedia Communications and LANs,Laptops/Notebooks and Personal Computing Devices,Peripherals and Networking Gear,Servers and Data Storage,Telephony Equipment and Software,Manufacturers,Expiration,CONTROLLER,ADDRESS1,ADDRESS2,E-MAIL ADDRESS,CONTACT,PHONE #,FAX #
Accent Electronic Systems Integrators,Allegheny,No,Yes,No,Yes,Yes,Yes,"Arecont Vision; Axis Communications; Cisco Systems; HewlettPackard (HP); InFocus; IQinVision; Lenel; Middle Atlantic Products; Panasonic; Pelco; Point Source Audio; ProCo Sound, Inc.; Renkus-Heinz Loudspeakers; Samsung; ShoreTel VOIP Product Line; Shure; USGA",6/29/15,48753,,,,,,
Advanticom,Allegheny,Yes,Yes,Yes,Yes,Yes,No,Brocade; Dell,8/13/15,48753,,,,,,
AEC Group,Allegheny,No,No,No,Yes,Yes,No,Citrix,4/5/16,48753,,,,,,
Communications Consulting,Allegheny,Yes,Yes,Yes,Yes,Yes,Yes,Alcatel-Lucent; Barracuda Networks; Dell; LifeSize; SonicWALL; Tech Data Corporation Vendor Line Card,5/22/16,48753,,,,,,
Connectivity Communications,Allegheny,No,Yes,No,Yes,No,Yes,"Aerohive Networks; Altor Networks, Inc.; Aruba Networks, Inc.; Bluesocket; Juniper Networks (US), Inc.; M86 Security; Palo Alto; Radvision; Solar Winds",10/28/15,48753,,,,,,
Dagostino Electronic Services,Allegheny,No,Yes,No,No,Yes,No,"AMX; Audio Technica; Chief Manufacturing; ClearOne; Comprehensive Video; Crestron; DaLite Screen Co.; Draper, Inc.; JBL by Harman; Nimble Storage; Polycom; Shure; Sonic Foundry; Starin-AV Distributor Line Card; Tandberg, Inc.; TOA Electronics, Inc.; TXL",5/15/16,48753,,,,,,
DataMatrix Systems,Allegheny,Yes,Yes,Yes,Yes,Yes,No,Brocade; Citrix; CLI (Computer Labs International); CRU Dataport; Cyberpower Systems; Equal Optics; HewlettPackard (HP); Lenovo; Sendio; SonicWALL,9/15/15,48753,,,,,,
Horizon Information Services,Allegheny,Yes,Yes,Yes,Yes,Yes,Yes,"Ingram Micro-Line Card; MotionComputing; Motorola, Inc.; Tech Data Corporation Vendor Line Card",10/14/16,48753,,,,,,
Ideal Integrations,Allegheny,Yes,Yes,Yes,Yes,Yes,Yes,"APC by Schneider Electric (formerly American Power Conversion Corp.); Enterasys Networks, Inc.; Ingram MicroLine Card",6/13/15,48753,,,,,,
Information Technologies Services,Allegheny,No,Yes,No,No,No,No,"Atlas Sound; Axis Communications; BrightSign; Chief Manufacturing; ClearOne; Crestron; Crown Audio, Inc. (Crown International); DaLite Screen Co.; Furman Audio; Hitachi; InFocus; IQinVision; JBL by Harman; Kramer Electronics; LG Electronics, Inc.; Mitsubishi Electric Visual & Imaging Systems; NEC; Next Level Security Systems; Panasonic; Shure",5/2/16,48753,,,,,,
