Company,County Served,Cleaning Supplies and Chemicals,Commercial and Industrial Floor Mats,Deodorizer/Odor Conteractant,Dilution Control Systems,Floor Care Machines,Floor Finisher and Remover (supplies and chemicals),Janitorial Paper Products,Specialized Floor Cleaning Equipment Rental,Trash Liners,Vacuums and Accessories (Excludes Central Vacuum Systems),Manufacturers,Expiration,CONTROLLER,ADDRESS1,ADDRESS2,E-MAIL ADDRESS,CONTACT,PHONE #,FAX #
Apter Industries,Allegheny,Yes,No,Yes,No,No,Yes,No,No,No,No,"Apter Industries, Inc.",8/21/15,48316,,,,,,
Direct Service ,Allegheny,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Eagle Solutions; Misco Products Corp.; Pioneer Eclipse (Floor CareSanitation),1/28/16,48316,,,,,,
Erzen Associeates,Allegheny,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"Dial Henkle Group; Envirox, LLC; Essential Industries; Filmop; IDP Floor Care; Inspired Tec LLC; Kaivac, Inc.; NaceCare Solutions; Nittany Paper Mills, Inc.; Superior Mfg Group Inc; Tecony Clean Max Vacuum; Von Drehle Paper Products",3/26/16,48316,,,,,,
Fagan Sanitary Supply (Fagan Inc.),Allegheny,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,BayWest Paper/Dispensers; Hillyard; Karcher Floor Care; ProTeam; The Andersen Company (Mats); Unger; Wausau Paper,10/14/15,48316,,,,,,
General Products & Supply,Westmoreland,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,,2/4/16,48316,,,,,,
Griffin Maintenance Supply,Westmoreland,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,,9/27/15,48316,,,,,,
L.M. Colker Company,Allegheny,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Champion (Janitorial); GeorgiaPacific; Kruger; Misco Products Corp.; Rubbermaid; von Drehle Corporation,4/29/15,48316,,,,,,
McManus Merchants of Morgantown,Westmoreland,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,"Applied Creativity, Inc.; Betco; Modern Sales; von Drehle Corporation",1/14/16,48316,,,,,,
MON-D-AID & CLEANING CO,Butler,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,"AJM Packaging Corporation; Akro Mats; Amrep, Inc.; Ansell (includes Ansell Edmont/Ansell Healthcare); APC Filtration, Inc.; Armor All/STP Products Company; Atlas Paper Mills LLC; BayWest Paper/Dispensers; Big D Industries, Inc.; Boardwalk; Bobrick Washroom Equipment, Inc.; Bullen; Canberra Corporation; Carlisle FoodService Products; Chase Products; Chicopee; Church & Dwight Co., Inc.; Clarke; Clean Control; Clorox; Colgate Palmolive Company; Continental Commercial Products; Crown Mats; Deb (Deb Group Ltd/Deb SBS); Dial Corp.; Diversey, Inc. (formerly JohnsonDiversey); Ecolab; Eureka; Fort James Corporation; Franklin Cleaning Technology; Galaxy Gloves; Geerpres; General Paper; Georgia-Pacific; GMT-Global Material Technologies; GOJO Industries, Inc.; Heritage Bag Company; Hoffmaster; Homax; Hoover Company; Impact Products; Inteplast Group; ITW Dymon; Jaguar Plastics; KIK Custom Products; Kimberly-Clark; Koala Kare; Krystal Deodorant and Restroom Products; Ludlow; Marcal Paper; Mercury Floor Machines; etro Paper; Moltan Co.; Morcon Paper Products; Murphy's Oil; North American Salt Co.; Phoenix Brands; Pitt Plastics; Powr-Flite (A Tacony Company); Premiere Pads; Proline; PullmanHolt; Reckitt Benckiser; Rochester Midland Corporation; RootLowell Manufacturing Co. (Sprayers); Rubbermaid; San Jamar; SCA Tissue North America LLC; The Andersen Company (Mats); United Stationers; VVF Amenities; Wepak",3/7/16,48316,,,,,,
Paper Products,Allegheny,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,"3M; Berry Plastics; Canberra Corporation; Dart Container; Diversey, Inc. (formerly JohnsonDiversey); Ecolab; Fresh Products; KimberlyClark; ProTeam",12/3/15,48316,,,,,,
PESTCO Professional Services,Allegheny,Yes,No,Yes,No,No,No,Yes,No,No,No,Air-Scent International; Surco Products,2/28/16,48316,,,,,,
Pitt Chemical & Sanitary Supply,Allegheny,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,"Algonquin Products; BayWest Paper/Dispensers; Diversey, Inc. (formerly JohnsonDiversey); Nobles Equipment by Tennant Company; Spartan Chemical Company, Inc.; Stoko Hand Care",1/9/16,48316,,,,,,
