TYPE OF CONTRACT,CONTRACT,PA,COMPANY,SERVICE,EXPIRATION,CONTROLLER,ADDRESS1,ADDRESS2,E-MAIL ADDRESS,CONTACT,PHONE #,FAX #,NOTES
A-BID,A-070-09,EP,"BROWN BAG DELI, INC.",CATERING SERVICES,6/30/15,48626,"741   5TH AVENUE, CHATHAM CENTER II","PITTSBURGH, PA  15219",brown_bag_deli@verizon.net,Barry Fuss,412-471-3354,412-566-1755,
B-BID,B-004-10**,EP,"NELSON TREE SERVICE, INC","PRUNING & REMOVAL OF TREES, ETC.",3/31/15,48592,1463 SIMONTON ROAD,"ASHLAND, OH  44805",mnichols@nelsontree.com,Aaron Blower / Molly Nichols,419-929-8000,877-900-7016,
County,7370,EP,U.S. MUNICIPAL SUPPLY,PARTS: SALT SPREADERS & PLOWS,11/30/16,51259,"P.O. BOX 574, 10583 RAYSTOWN ROAD","HUNTINGDON, PA 16652",sje@usmuni.com,Steven Eglar,412-977-2834,412-207-8470,
County,7370,EP,WALSH EQUIPMENT,PARTS: SALT SPREADERS & PLOWS,11/30/16,51259,796 UNIONVILLE ROAD,"PROSPECT, PA 16052",tom.young@walshequipment.com,Thomas Young,724-865-9221,724.865.9817,
County,7377,,"COSTA CONTRACTING, INC.","RENOVATION/REPLACEMENT OF CONCRETE SIDEWALK AND VARIOUS OTHER CONCRETE WORK, ETC",12/31/15,51173,347 LEFEVER HILL ROAD,"CHESWICK, PA 15024",domenic@costacontracting.com,Domenic Costa,724-265-4388,724-265-0077,
County,7380,EP,IBIS TEK DBA IBIS SIGNS,WAYFINDER SIGNAGE SYSTEM: MATERIALS III,12/31/15,51119,912 PITTSBURGH ROAD,"BUTLER, PA 16002",rberglund@ibistek.com,Rachel Berglund,724-431-3063,724-431-4361,
County,7381,WC,MOBILEASE MODULAR SPACE,RENTAL OF PORTABLE CLASSROOM TRAILER - FIRE,12/6/15,51111,201 ROUTE 130,PEDRICKTOWN. NJ  08067,brian@mobileasemodular.com,Peter Barton,856-686-9600,856-686-9240,
County,7382,,PLAVCHAK CONSTRUCTION,"GENERAL REHABILITATION/REPAIR/RENOVATION AND CONSTRUCTION FOR VARIOUS SITES, (CD AREAS INCLUDED)",12/31/16,,1512 ROUTE 51,"JEFFERSON HILLS, PA  15025",mplavchak@plavchakconstruction.com,Michael Plavchak,412-384-3224,412-384-6770,
County,7383,,"A. FOLINO CONSTRUCTION, INC.",ASPHALT AND CONCRETE MILLING (CD AREAS),12/31/16,,P.O. BOX 111,"OAKMONT, PA 15139",dfolino@afolino.com,Dino Folino,412-820-2800x211,412-8201808,
County,7384,,PLAVCHAK CONSTRUCTION,REPAIRS / RENOVATION OF BALLFIELDS (INCLUDING C.D. AREAS),12/31/15,,1513 ROUTE 51,"JEFFERSON HILLS, PA  15026",mplavchak@plavchakconstruction.com,Michael Plavchak,412-384-3224,412-384-6770,
