Company,County Located,Consumer Copier Suppliers,Copier Accessories and/or Optional Features,Copier Installment Purchase,Copier Lease,Copier Maintenance and Repair,Outright Copier Purchase,Manufacturers,Expiration,CONTROLLER,ADDRESS1,ADDRESS2,E-MAIL ADDRESS,CONTACT,PHONE #,FAX #
Advanced Office Systems,,Yes,Yes,Yes,Yes,Yes,Yes,"Hewlett Packard, Oki Data, Samsung",10/31/15,48675,,,,,,
Axis Business Consultants,Allegheny,Yes,Yes,Yes,Yes,Yes,Yes,Kyocera,8/12/15,48675,,,,,,
Brothers Lazer Service,,Yes,Yes,Yes,Yes,Yes,Yes,Hewlett Packard,12/16/15,48675,,,,,,
Canon Solutions America,,Yes,Yes,Yes,Yes,Yes,Yes,Canon,5/24/15,48675,,,,,,
Canon USA,,Yes,Yes,Yes,Yes,Yes,Yes,Canon,5/19/16,48675,,,,,,
Edwards Business Machines,,Yes,Yes,Yes,Yes,Yes,Yes,Konica Minolta,1/9/16,48675,,,,,,
Ford Business Machines,,Yes,Yes,Yes,Yes,Yes,Yes,Canon,6/14/15,48675,,,,,,
Heritage Business Systems,,Yes,Yes,Yes,Yes,Yes,Yes,"Canon, Kyocera",8/8/15,48675,,,,,,
Konica Minolta Business Solutions,,Yes,Yes,Yes,Yes,Yes,Yes,Konica Minolta,5/18/15,48675,,,,,,
Kyocera Mita America,,Yes,Yes,Yes,Yes,Yes,Yes,Kyocera,4/6/15,48675,,,,,,
Nellcom Technologies,,Yes,Yes,Yes,Yes,Yes,Yes,Suppliers Wholesales,3/20/16,48675,,,,,,
North Central Digital Systems,,Yes,Yes,Yes,Yes,Yes,Yes,Kyocera,12/3/15,48675,,,,,,
Phillips Office Products,,Yes,Yes,Yes,Yes,Yes,Yes,"Canon; Konica Minolta; Kyocera, Lexmark; Muratec; Riso; Sharp",8/20/15,48675,,,,,,
Richter Drafting and Office Supply,,Yes,Yes,Yes,Yes,Yes,Yes,Brother International; Hewlett Packard; KIP,11/25/15,48675,,,,,,
Ricoh USA,,Yes,Yes,Yes,Yes,Yes,Yes,Ricoh,4/21/15,48675,,,,,,
Sapphire Technology Group,,Yes,Yes,Yes,Yes,Yes,Yes,CopyStar Kyocera; Oki Data; Samsung,4/1/16,48675,,,,,,
Sharp Electronics Corporation,,Yes,Yes,Yes,Yes,Yes,Yes,Sharp,1/7/16,48675,,,,,,
Toshiba American Business Solutions,,Yes,Yes,Yes,Yes,Yes,Yes,Toshiba,12/16/15,48675,,,,,,
Xerox Corporations,,Yes,Yes,Yes,Yes,Yes,Yes,Xerox,7/30/15,48675,,,,,,
